虚拟板坯号,第一合同订货厚度,组合板宽度,组合板长度,尾部试材长度,头部试材长度,轧制目标长度,切头尾量,固定板坯长度标记,毛边切边标记,清前坯厚,清前坯宽,清前坯长,基准收得率,命令收得率,轧制收得率,头部切舍量,尾部切舍量,组板方式,加热炉类型,自动人工标记,大板内成品小板总块数,清理前板坯最大长度,清理前板坯最小长度,清理前板坯重量,清理前板坯最大重量,清理前板坯最小重量,进加热炉板坯厚度,进加热炉板坯宽度,进加热炉板坯长度,进加热炉板坯最大长度,进加热炉板坯最小长度,进加热炉板坯重量,进加热炉板坯最大重量,进加热炉板坯最小重量,必要板坯长度,必要板坯重量,固定板坯长度,结晶器厚度,结晶器宽度,板坯清理重量减少率_静态表,板坯清理重量减少率_画面,轧制目标厚度,轧制目标宽度,厚板轧制重量,轧制厚度公差上限,轧制厚度公差下限,轧制方向代码,切缝量,中部试材长度
,roll_thick,roll_width,corect_length,tcrop,hcrop,roll_length,len_crop,,,,,,,,,,,,,,i_length_slot,,,,,,,,,,,,,,,,,,,,,,,,,,,d_cut_width_i,
MC8000008803,60,2600,9840,0,0,10310,470,0,0,247,1800,3680,93.836,93.833,93.833,0,0,A1,C,M,1,3680,3680,12.844,12.844,12.844,247,1800,3680,3680,3680,12.842,12.844,12.844,3680,12.842,0,247,1800,0,0,59.65,2660,12.842,1.1,-1.1,L,0,0
MC8000008802,30,2200,22544,0,0,23594,1050,0,0,247,1800,3569,93.795,93.793,93.793,0,0,A1,C,M,2,3569,3569,12.456,12.456,12.456,247,1800,3569,3569,3569,12.453,12.456,12.456,3569,12.453,0,247,1800,0,0,29.75,2260,12.453,0.8,-0.8,L,0,0
MC8000008793,26,2610,21770,0,0,22590,820,0,1,247,1800,3513,94.596,94.592,94.592,0,0,A1,T,M,2,3513,3513,12.261,12.261,12.261,247,1800,3513,3513,3513,12.26,12.261,12.261,3513,12.26,0,247,1800,0,0,25.7,2690,12.259,1,-1,L,0,0
MC8000008792,26,2610,21770,0,0,22590,820,0,1,247,1800,3513,94.596,94.592,94.592,0,0,A1,T,M,2,3513,3513,12.261,12.261,12.261,247,1800,3513,3513,3513,12.26,12.261,12.261,3513,12.26,0,247,1800,0,0,25.7,2690,12.259,1,-1,L,0,0
MC8000008791,25,2500,25050,0,0,26170,1120,0,0,247,1800,3730,94.421,94.422,94.422,0,0,A1,T,M,3,3730,3730,13.018,13.018,13.018,247,1800,3730,3730,3730,13.016,13.018,13.018,3730,13.016,0,247,1800,0,0,24.75,2560,13.016,0.75,-0.75,L,0,0
MC8000008790,25,2500,25050,0,0,26170,1120,0,0,247,1800,3730,94.421,94.422,94.422,0,0,A1,T,M,3,3730,3730,13.018,13.018,13.018,247,1800,3730,3730,3730,13.016,13.018,13.018,3730,13.016,0,247,1800,0,0,24.75,2560,13.016,0.75,-0.75,L,0,0
MC8000008789,25,2500,25050,0,0,26170,1120,0,0,247,1800,3730,94.421,94.422,94.422,0,0,A1,T,M,3,3730,3730,13.018,13.018,13.018,247,1800,3730,3730,3730,13.016,13.018,13.018,3730,13.016,0,247,1800,0,0,24.75,2560,13.016,0.75,-0.75,L,0,0
MC8000008788,25,2500,25050,0,0,26170,1120,0,0,247,1800,3730,94.421,94.422,94.422,0,0,A1,T,M,3,3730,3730,13.018,13.018,13.018,247,1800,3730,3730,3730,13.016,13.018,13.018,3730,13.016,0,247,1800,0,0,24.75,2560,13.016,0.75,-0.75,L,0,0
MC8000008787,25,2500,25050,0,0,26170,1120,0,0,247,1800,3730,94.421,94.422,94.422,0,0,A1,T,M,3,3730,3730,13.018,13.018,13.018,247,1800,3730,3730,3730,13.016,13.018,13.018,3730,13.016,0,247,1800,0,0,24.75,2560,13.016,0.75,-0.75,L,0,0
MC8000008786,25,2500,25050,0,0,26170,1120,0,0,247,1800,3730,94.421,94.422,94.422,0,0,A1,T,M,3,3730,3730,13.018,13.018,13.018,247,1800,3730,3730,3730,13.016,13.018,13.018,3730,13.016,0,247,1800,0,0,24.75,2560,13.016,0.75,-0.75,L,0,0
MC8000008785,25,2500,25050,0,0,26170,1120,0,0,247,1800,3730,94.421,94.422,94.422,0,0,A1,T,M,3,3730,3730,13.018,13.018,13.018,247,1800,3730,3730,3730,13.016,13.018,13.018,3730,13.016,0,247,1800,0,0,24.75,2560,13.016,0.75,-0.75,L,0,0
MC8000008997,20,2500,26000,0,0,27120,1120,1,0,395,2000,1750,94.808,94.029,94.029,0,0,A1,J,M,2,1750,1750,10.853,10.853,10.853,395,2000,1750,1750,1750,10.853,10.853,10.853,1736,10.764,1750,395,2000,0,0,19.75,2560,10.764,0.75,-0.75,L,0,0
MC8000008998,20,2500,26000,0,0,27120,1120,1,0,395,2000,1750,94.808,94.029,94.029,0,0,A1,J,M,2,1750,1750,10.853,10.853,10.853,395,2000,1750,1750,1750,10.853,10.853,10.853,1736,10.764,1750,395,2000,0,0,19.75,2560,10.764,0.75,-0.75,L,0,0
MC8000008999,20,2500,26000,0,0,27120,1120,1,0,395,2000,1750,94.808,94.029,94.029,0,0,A1,J,M,2,1750,1750,10.853,10.853,10.853,395,2000,1750,1750,1750,10.853,10.853,10.853,1736,10.764,1750,395,2000,0,0,19.75,2560,10.764,0.75,-0.75,L,0,0
MC8000008784,25,2500,25050,0,0,26170,1120,0,0,247,1800,3730,94.421,94.422,94.422,0,0,A1,T,M,3,3730,3730,13.018,13.018,13.018,247,1800,3730,3730,3730,13.016,13.018,13.018,3730,13.016,0,247,1800,0,0,24.75,2560,13.016,0.75,-0.75,L,0,0
MC8000008783,25,2260,26208,0,0,27428,1220,0,1,247,1800,3543,94.021,94.022,94.022,0,0,A1,T,M,3,3543,3543,12.365,12.365,12.365,247,1800,3543,3543,3543,12.363,12.365,12.365,3543,12.363,0,247,1800,0,0,24.75,2320,12.363,0.75,-0.75,L,0,0
MC8000008782,25,2200,27474,0,0,28754,1280,0,0,247,1800,3618,93.951,93.949,93.949,0,0,A1,T,M,3,3618,3618,12.627,12.627,12.627,247,1800,3618,3618,3618,12.626,12.627,12.627,3618,12.626,0,247,1800,0,0,24.75,2260,12.626,0.75,-0.75,L,0,0
MC8000008781,25,2200,27474,0,0,28754,1280,0,0,247,1800,3618,93.951,93.949,93.949,0,0,A1,T,M,3,3618,3618,12.627,12.627,12.627,247,1800,3618,3618,3618,12.626,12.627,12.627,3618,12.626,0,247,1800,0,0,24.75,2260,12.626,0.75,-0.75,L,0,0
MC8000008780,25,2200,27474,0,0,28754,1280,0,0,247,1800,3618,93.951,93.949,93.949,0,0,A1,T,M,3,3618,3618,12.627,12.627,12.627,247,1800,3618,3618,3618,12.626,12.627,12.627,3618,12.626,0,247,1800,0,0,24.75,2260,12.626,0.75,-0.75,L,0,0
MC8000008779,25,2200,27474,0,0,28754,1280,0,0,247,1800,3618,93.951,93.949,93.949,0,0,A1,T,M,3,3618,3618,12.627,12.627,12.627,247,1800,3618,3618,3618,12.626,12.627,12.627,3618,12.626,0,247,1800,0,0,24.75,2260,12.626,0.75,-0.75,L,0,0
MC8000008778,25,2200,27474,0,0,28754,1280,0,0,247,1800,3618,93.951,93.949,93.949,0,0,A1,T,M,3,3618,3618,12.627,12.627,12.627,247,1800,3618,3618,3618,12.626,12.627,12.627,3618,12.626,0,247,1800,0,0,24.75,2260,12.626,0.75,-0.75,L,0,0
MC8000008777,25,2200,27474,0,0,28754,1280,0,0,247,1800,3618,93.951,93.949,93.949,0,0,A1,T,M,3,3618,3618,12.627,12.627,12.627,247,1800,3618,3618,3618,12.626,12.627,12.627,3618,12.626,0,247,1800,0,0,24.75,2260,12.626,0.75,-0.75,L,0,0
MC8000008776,25,2200,22546,0,0,23596,1050,0,0,247,1800,2969,93.953,93.958,93.958,0,0,A1,T,M,2,2969,2969,10.362,10.362,10.362,247,1800,2969,2969,2969,10.36,10.362,10.362,2969,10.36,0,247,1800,0,0,24.75,2260,10.361,0.75,-0.75,L,0,0
MC8000008775,25,2200,22546,0,0,23596,1050,0,0,247,1800,2969,93.953,93.958,93.958,0,0,A1,T,M,2,2969,2969,10.362,10.362,10.362,247,1800,2969,2969,2969,10.36,10.362,10.362,2969,10.36,0,247,1800,0,0,24.75,2260,10.361,0.75,-0.75,L,0,0
MC8000008774,25,2200,22546,0,0,23596,1050,0,0,247,1800,2969,93.953,93.958,93.958,0,0,A1,T,M,2,2969,2969,10.362,10.362,10.362,247,1800,2969,2969,2969,10.36,10.362,10.362,2969,10.36,0,247,1800,0,0,24.75,2260,10.361,0.75,-0.75,L,0,0
MC8000009077,20,2500,26000,0,0,27120,1120,1,0,395,2000,1750,94.808,94.029,94.029,0,0,A1,J,M,2,1750,1750,10.853,10.853,10.853,395,2000,1750,1750,1750,10.853,10.853,10.853,1736,10.764,1750,395,2000,0,0,19.75,2560,10.764,0.75,-0.75,L,0,0
MC8000008773,25,2200,22546,0,0,23596,1050,0,0,247,1800,2969,93.953,93.958,93.958,0,0,A1,T,M,2,2969,2969,10.362,10.362,10.362,247,1800,2969,2969,2969,10.36,10.362,10.362,2969,10.36,0,247,1800,0,0,24.75,2260,10.361,0.75,-0.75,L,0,0
MC8000008772,25,2200,22546,0,0,23596,1050,0,0,247,1800,2969,93.953,93.958,93.958,0,0,A1,T,M,2,2969,2969,10.362,10.362,10.362,247,1800,2969,2969,2969,10.36,10.362,10.362,2969,10.36,0,247,1800,0,0,24.75,2260,10.361,0.75,-0.75,L,0,0
MC8000008771,25,2200,26523,0,0,27743,1220,0,0,247,1800,3491,94.004,94.007,94.007,0,0,A1,T,M,3,3491,3491,12.184,12.184,12.184,247,1800,3491,3491,3491,12.181,12.184,12.184,3491,12.181,0,247,1800,0,0,24.75,2260,12.182,0.75,-0.75,L,0,0
MC8000008770,25,2200,26523,0,0,27743,1220,0,0,247,1800,3491,94.004,94.007,94.007,0,0,A1,T,M,3,3491,3491,12.184,12.184,12.184,247,1800,3491,3491,3491,12.181,12.184,12.184,3491,12.181,0,247,1800,0,0,24.75,2260,12.182,0.75,-0.75,L,0,0
MC8000008769,25,2200,26523,0,0,27743,1220,0,0,247,1800,3491,94.004,94.007,94.007,0,0,A1,T,M,3,3491,3491,12.184,12.184,12.184,247,1800,3491,3491,3491,12.181,12.184,12.184,3491,12.181,0,247,1800,0,0,24.75,2260,12.182,0.75,-0.75,L,0,0
MC8000008768,25,2200,26523,0,0,27743,1220,0,0,247,1800,3491,94.004,94.007,94.007,0,0,A1,T,M,3,3491,3491,12.184,12.184,12.184,247,1800,3491,3491,3491,12.181,12.184,12.184,3491,12.181,0,247,1800,0,0,24.75,2260,12.182,0.75,-0.75,L,0,0
MC8000008767,25,2200,26523,0,0,27743,1220,0,0,247,1800,3491,94.004,94.007,94.007,0,0,A1,T,M,3,3491,3491,12.184,12.184,12.184,247,1800,3491,3491,3491,12.181,12.184,12.184,3491,12.181,0,247,1800,0,0,24.75,2260,12.182,0.75,-0.75,L,0,0
MC8000008766,25,2200,26523,0,0,27743,1220,0,0,247,1800,3491,94.004,94.007,94.007,0,0,A1,T,M,3,3491,3491,12.184,12.184,12.184,247,1800,3491,3491,3491,12.181,12.184,12.184,3491,12.181,0,247,1800,0,0,24.75,2260,12.182,0.75,-0.75,L,0,0
MC8000008765,25,2200,26523,0,0,27743,1220,0,0,247,1800,3491,94.004,94.007,94.007,0,0,A1,T,M,3,3491,3491,12.184,12.184,12.184,247,1800,3491,3491,3491,12.181,12.184,12.184,3491,12.181,0,247,1800,0,0,24.75,2260,12.182,0.75,-0.75,L,0,0
MC8000008764,25,2200,26523,0,0,27743,1220,0,0,247,1800,3491,94.004,94.007,94.007,0,0,A1,T,M,3,3491,3491,12.184,12.184,12.184,247,1800,3491,3491,3491,12.181,12.184,12.184,3491,12.181,0,247,1800,0,0,24.75,2260,12.182,0.75,-0.75,L,0,0
MC8000008763,25,2200,26523,0,0,27743,1220,0,0,247,1800,3491,94.004,94.007,94.007,0,0,A1,T,M,3,3491,3491,12.184,12.184,12.184,247,1800,3491,3491,3491,12.181,12.184,12.184,3491,12.181,0,247,1800,0,0,24.75,2260,12.182,0.75,-0.75,L,0,0
MC8000008762,25,2200,26523,0,0,27743,1220,0,0,247,1800,3491,94.004,94.007,94.007,0,0,A1,T,M,3,3491,3491,12.184,12.184,12.184,247,1800,3491,3491,3491,12.181,12.184,12.184,3491,12.181,0,247,1800,0,0,24.75,2260,12.182,0.75,-0.75,L,0,0
MC8000008761,25,2200,26523,0,0,27743,1220,0,0,247,1800,3491,94.004,94.007,94.007,0,0,A1,T,M,3,3491,3491,12.184,12.184,12.184,247,1800,3491,3491,3491,12.181,12.184,12.184,3491,12.181,0,247,1800,0,0,24.75,2260,12.182,0.75,-0.75,L,0,0
MC8000008760,25,2200,26523,0,0,27743,1220,0,0,247,1800,3491,94.004,94.007,94.007,0,0,A1,T,M,3,3491,3491,12.184,12.184,12.184,247,1800,3491,3491,3491,12.181,12.184,12.184,3491,12.181,0,247,1800,0,0,24.75,2260,12.182,0.75,-0.75,L,0,0
MC8000008759,25,2200,26523,0,0,27743,1220,0,0,247,1800,3491,94.004,94.007,94.007,0,0,A1,T,M,3,3491,3491,12.184,12.184,12.184,247,1800,3491,3491,3491,12.181,12.184,12.184,3491,12.181,0,247,1800,0,0,24.75,2260,12.182,0.75,-0.75,L,0,0
MC8000008758,25,2200,26523,0,0,27743,1220,0,0,247,1800,3491,94.004,94.007,94.007,0,0,A1,T,M,3,3491,3491,12.184,12.184,12.184,247,1800,3491,3491,3491,12.181,12.184,12.184,3491,12.181,0,247,1800,0,0,24.75,2260,12.182,0.75,-0.75,L,0,0
MC8000008757,25,2200,26523,0,0,27743,1220,0,0,247,1800,3491,94.004,94.007,94.007,0,0,A1,T,M,3,3491,3491,12.184,12.184,12.184,247,1800,3491,3491,3491,12.181,12.184,12.184,3491,12.181,0,247,1800,0,0,24.75,2260,12.182,0.75,-0.75,L,0,0
MC8000008756,25,2200,26523,0,0,27743,1220,0,0,247,1800,3491,94.004,94.007,94.007,0,0,A1,T,M,3,3491,3491,12.184,12.184,12.184,247,1800,3491,3491,3491,12.181,12.184,12.184,3491,12.181,0,247,1800,0,0,24.75,2260,12.182,0.75,-0.75,L,0,0
MC8000008755,25,2200,26523,0,0,27743,1220,0,0,247,1800,3491,94.004,94.007,94.007,0,0,A1,T,M,3,3491,3491,12.184,12.184,12.184,247,1800,3491,3491,3491,12.181,12.184,12.184,3491,12.181,0,247,1800,0,0,24.75,2260,12.182,0.75,-0.75,L,0,0
MC8000008754,50,2030,15340,0,0,16040,700,0,1,247,1800,3748,93.451,93.448,93.448,0,0,A1,T,M,2,3748,3748,13.081,13.081,13.081,247,1800,3748,3748,3748,13.08,13.081,13.081,3748,13.08,0,247,1800,0,0,49.7,2090,13.079,0.9,-0.9,L,0,0
MC8000008753,35,2200,21800,0,0,22800,1000,0,0,395,2000,2267,93.745,93.746,93.746,0,0,A1,T,M,2,2267,2267,14.059,14.059,14.059,395,2000,2267,2267,2267,14.056,14.059,14.059,2267,14.056,0,395,2000,0,0,34.75,2260,14.056,0.8,-0.8,L,0,0
MC8000008752,35,2200,21800,0,0,22800,1000,0,0,395,2000,2267,93.745,93.746,93.746,0,0,A1,T,M,2,2267,2267,14.059,14.059,14.059,395,2000,2267,2267,2267,14.056,14.059,14.059,2267,14.056,0,395,2000,0,0,34.75,2260,14.056,0.8,-0.8,L,0,0
MC8000008751,35,2200,21800,0,0,22800,1000,0,0,395,2000,2267,93.745,93.746,93.746,0,0,A1,T,M,2,2267,2267,14.059,14.059,14.059,395,2000,2267,2267,2267,14.056,14.059,14.059,2267,14.056,0,395,2000,0,0,34.75,2260,14.056,0.8,-0.8,L,0,0
MC8000008750,30,2500,24000,0,0,25120,1120,0,1,395,2000,2422,94.086,94.087,94.087,0,0,A1,T,M,2,2422,2422,15.02,15.02,15.02,395,2000,2422,2422,2422,15.018,15.02,15.02,2422,15.018,0,395,2000,0,0,29.75,2560,15.018,0.8,-0.8,L,0,0
MC8000008749,30,2200,23400,0,0,24500,1100,0,0,247,1800,3706,93.756,93.759,93.759,0,0,A1,T,M,2,3706,3706,12.934,12.934,12.934,247,1800,3706,3706,3706,12.931,12.934,12.934,3706,12.931,0,247,1800,0,0,29.75,2260,12.931,0.8,-0.8,L,0,0
MC8000008748,30,2200,23400,0,0,24500,1100,0,0,247,1800,3706,93.756,93.759,93.759,0,0,A1,T,M,2,3706,3706,12.934,12.934,12.934,247,1800,3706,3706,3706,12.931,12.934,12.934,3706,12.931,0,247,1800,0,0,29.75,2260,12.931,0.8,-0.8,L,0,0
MC8000008747,30,2200,23400,0,0,24500,1100,0,0,247,1800,3706,93.756,93.759,93.759,0,0,A1,T,M,2,3706,3706,12.934,12.934,12.934,247,1800,3706,3706,3706,12.931,12.934,12.934,3706,12.931,0,247,1800,0,0,29.75,2260,12.931,0.8,-0.8,L,0,0
MC8000008746,30,2200,25800,0,0,26920,1120,0,0,395,2000,2292,94.079,94.081,94.081,0,0,A1,T,M,3,2292,2292,14.214,14.214,14.214,395,2000,2292,2292,2292,14.208,14.214,14.214,2292,14.208,0,395,2000,0,0,29.75,2260,14.208,0.8,-0.8,L,0,0
MC8000008745,30,2200,25800,0,0,26920,1120,0,0,395,2000,2292,94.079,94.081,94.081,0,0,A1,T,M,3,2292,2292,14.214,14.214,14.214,395,2000,2292,2292,2292,14.208,14.214,14.214,2292,14.208,0,395,2000,0,0,29.75,2260,14.208,0.8,-0.8,L,0,0
MC8000008744,30,2200,25800,0,0,26920,1120,0,0,395,2000,2292,94.079,94.081,94.081,0,0,A1,T,M,3,2292,2292,14.214,14.214,14.214,395,2000,2292,2292,2292,14.208,14.214,14.214,2292,14.208,0,395,2000,0,0,29.75,2260,14.208,0.8,-0.8,L,0,0
MC8000008743,30,2200,25800,0,0,26920,1120,0,0,395,2000,2292,94.079,94.081,94.081,0,0,A1,T,M,3,2292,2292,14.214,14.214,14.214,395,2000,2292,2292,2292,14.208,14.214,14.214,2292,14.208,0,395,2000,0,0,29.75,2260,14.208,0.8,-0.8,L,0,0
MC8000008742,30,2200,25800,0,0,26920,1120,0,0,395,2000,2292,94.079,94.081,94.081,0,0,A1,T,M,3,2292,2292,14.214,14.214,14.214,395,2000,2292,2292,2292,14.208,14.214,14.214,2292,14.208,0,395,2000,0,0,29.75,2260,14.208,0.8,-0.8,L,0,0
MC8000008741,30,2200,25800,0,0,26920,1120,0,0,395,2000,2292,94.079,94.081,94.081,0,0,A1,T,M,3,2292,2292,14.214,14.214,14.214,395,2000,2292,2292,2292,14.208,14.214,14.214,2292,14.208,0,395,2000,0,0,29.75,2260,14.208,0.8,-0.8,L,0,0
MC8000008734,32,2200,22018,0,0,23068,1050,0,0,247,1800,3723,93.646,93.643,93.643,0,0,A1,T,M,2,3723,3723,12.994,12.994,12.994,247,1800,3723,3723,3723,12.994,12.994,12.994,3723,12.994,0,247,1800,0,0,31.75,2260,12.994,0.8,-0.8,L,0,0
MC8000008733,32,2200,22018,0,0,23068,1050,0,0,247,1800,3723,93.646,93.643,93.643,0,0,A1,T,M,2,3723,3723,12.994,12.994,12.994,247,1800,3723,3723,3723,12.994,12.994,12.994,3723,12.994,0,247,1800,0,0,31.75,2260,12.994,0.8,-0.8,L,0,0
MC8000008732,32,2200,22018,0,0,23068,1050,0,0,247,1800,3723,93.646,93.643,93.643,0,0,A1,T,M,2,3723,3723,12.994,12.994,12.994,247,1800,3723,3723,3723,12.994,12.994,12.994,3723,12.994,0,247,1800,0,0,31.75,2260,12.994,0.8,-0.8,L,0,0
MC8000008731,32,2200,22018,0,0,23068,1050,0,0,247,1800,3723,93.646,93.643,93.643,0,0,A1,T,M,2,3723,3723,12.994,12.994,12.994,247,1800,3723,3723,3723,12.994,12.994,12.994,3723,12.994,0,247,1800,0,0,31.75,2260,12.994,0.8,-0.8,L,0,0
MC8000008730,32,2200,22018,0,0,23068,1050,0,0,247,1800,3723,93.646,93.643,93.643,0,0,A1,T,M,2,3723,3723,12.994,12.994,12.994,247,1800,3723,3723,3723,12.994,12.994,12.994,3723,12.994,0,247,1800,0,0,31.75,2260,12.994,0.8,-0.8,L,0,0
MC8000008729,32,2200,22018,0,0,23068,1050,0,0,247,1800,3723,93.646,93.643,93.643,0,0,A1,T,M,2,3723,3723,12.994,12.994,12.994,247,1800,3723,3723,3723,12.994,12.994,12.994,3723,12.994,0,247,1800,0,0,31.75,2260,12.994,0.8,-0.8,L,0,0
MC8000008728,32,2200,22018,0,0,23068,1050,0,0,247,1800,3723,93.646,93.643,93.643,0,0,A1,T,M,2,3723,3723,12.994,12.994,12.994,247,1800,3723,3723,3723,12.994,12.994,12.994,3723,12.994,0,247,1800,0,0,31.75,2260,12.994,0.8,-0.8,L,0,0
MC8000008727,32,2200,22018,0,0,23068,1050,0,0,247,1800,3723,93.646,93.643,93.643,0,0,A1,T,M,2,3723,3723,12.994,12.994,12.994,247,1800,3723,3723,3723,12.994,12.994,12.994,3723,12.994,0,247,1800,0,0,31.75,2260,12.994,0.8,-0.8,L,0,0
MC8000008726,30,2000,25764,0,0,26884,1120,0,0,247,1800,3706,93.825,93.822,93.822,0,0,A1,T,M,3,3706,3706,12.934,12.934,12.934,247,1800,3706,3706,3706,12.934,12.934,12.934,3706,12.934,0,247,1800,0,0,29.75,2060,12.934,0.8,-0.8,L,0,0
MC8000008725,30,2000,25764,0,0,26884,1120,0,0,247,1800,3706,93.825,93.822,93.822,0,0,A1,T,M,3,3706,3706,12.934,12.934,12.934,247,1800,3706,3706,3706,12.934,12.934,12.934,3706,12.934,0,247,1800,0,0,29.75,2060,12.934,0.8,-0.8,L,0,0
MC8000008724,30,2000,25764,0,0,26884,1120,0,0,247,1800,3706,93.825,93.822,93.822,0,0,A1,T,M,3,3706,3706,12.934,12.934,12.934,247,1800,3706,3706,3706,12.934,12.934,12.934,3706,12.934,0,247,1800,0,0,29.75,2060,12.934,0.8,-0.8,L,0,0
MC8000008723,30,2000,25764,0,0,26884,1120,0,0,247,1800,3706,93.825,93.822,93.822,0,0,A1,T,M,3,3706,3706,12.934,12.934,12.934,247,1800,3706,3706,3706,12.934,12.934,12.934,3706,12.934,0,247,1800,0,0,29.75,2060,12.934,0.8,-0.8,L,0,0
MC8000008722,28,2200,25161,0,0,26281,1120,0,0,247,1800,3708,94.036,94.034,94.034,0,0,A1,T,M,3,3708,3708,12.941,12.941,12.941,247,1800,3708,3708,3708,12.939,12.941,12.941,3708,12.939,0,247,1800,0,0,27.75,2260,12.938,0.8,-0.8,L,0,0
MC8000008721,28,2200,25161,0,0,26281,1120,0,0,247,1800,3708,94.036,94.034,94.034,0,0,A1,T,M,3,3708,3708,12.941,12.941,12.941,247,1800,3708,3708,3708,12.939,12.941,12.941,3708,12.939,0,247,1800,0,0,27.75,2260,12.938,0.8,-0.8,L,0,0
MC8000008720,28,2200,25161,0,0,26281,1120,0,0,247,1800,3708,94.036,94.034,94.034,0,0,A1,T,M,3,3708,3708,12.941,12.941,12.941,247,1800,3708,3708,3708,12.939,12.941,12.941,3708,12.939,0,247,1800,0,0,27.75,2260,12.938,0.8,-0.8,L,0,0
MC8000008719,28,2200,25161,0,0,26281,1120,0,0,247,1800,3708,94.036,94.034,94.034,0,0,A1,T,M,3,3708,3708,12.941,12.941,12.941,247,1800,3708,3708,3708,12.939,12.941,12.941,3708,12.939,0,247,1800,0,0,27.75,2260,12.938,0.8,-0.8,L,0,0
MC8000008718,28,2200,25161,0,0,26281,1120,0,0,247,1800,3708,94.036,94.034,94.034,0,0,A1,T,M,3,3708,3708,12.941,12.941,12.941,247,1800,3708,3708,3708,12.939,12.941,12.941,3708,12.939,0,247,1800,0,0,27.75,2260,12.938,0.8,-0.8,L,0,0
MC8000008717,28,2200,25161,0,0,26281,1120,0,0,247,1800,3708,94.036,94.034,94.034,0,0,A1,T,M,3,3708,3708,12.941,12.941,12.941,247,1800,3708,3708,3708,12.939,12.941,12.941,3708,12.939,0,247,1800,0,0,27.75,2260,12.938,0.8,-0.8,L,0,0
MC8000008716,28,2200,25161,0,0,26281,1120,0,0,247,1800,3708,94.036,94.034,94.034,0,0,A1,T,M,3,3708,3708,12.941,12.941,12.941,247,1800,3708,3708,3708,12.939,12.941,12.941,3708,12.939,0,247,1800,0,0,27.75,2260,12.938,0.8,-0.8,L,0,0
MC8000008715,28,2200,25161,0,0,26281,1120,0,0,247,1800,3708,94.036,94.034,94.034,0,0,A1,T,M,3,3708,3708,12.941,12.941,12.941,247,1800,3708,3708,3708,12.939,12.941,12.941,3708,12.939,0,247,1800,0,0,27.75,2260,12.938,0.8,-0.8,L,0,0
MC8000008714,25,2500,25698,0,0,26818,1120,0,0,247,1800,3822,94.523,94.52,94.52,0,0,A1,T,M,3,3822,3822,13.339,13.339,13.339,247,1800,3822,3822,3822,13.339,13.339,13.339,3822,13.339,0,247,1800,0,0,24.75,2560,13.339,0.75,-0.75,L,0,0
MC8000008713,25,2500,25698,0,0,26818,1120,0,0,247,1800,3822,94.523,94.52,94.52,0,0,A1,T,M,3,3822,3822,13.339,13.339,13.339,247,1800,3822,3822,3822,13.339,13.339,13.339,3822,13.339,0,247,1800,0,0,24.75,2560,13.339,0.75,-0.75,L,0,0
MC8000008712,25,2500,25698,0,0,26818,1120,0,0,247,1800,3822,94.523,94.52,94.52,0,0,A1,T,M,3,3822,3822,13.339,13.339,13.339,247,1800,3822,3822,3822,13.339,13.339,13.339,3822,13.339,0,247,1800,0,0,24.75,2560,13.339,0.75,-0.75,L,0,0
MC8000008711,25,2500,25698,0,0,26818,1120,0,0,247,1800,3822,94.523,94.52,94.52,0,0,A1,T,M,3,3822,3822,13.339,13.339,13.339,247,1800,3822,3822,3822,13.339,13.339,13.339,3822,13.339,0,247,1800,0,0,24.75,2560,13.339,0.75,-0.75,L,0,0
MC8000008710,25,2500,25698,0,0,26818,1120,0,0,247,1800,3822,94.523,94.52,94.52,0,0,A1,T,M,3,3822,3822,13.339,13.339,13.339,247,1800,3822,3822,3822,13.339,13.339,13.339,3822,13.339,0,247,1800,0,0,24.75,2560,13.339,0.75,-0.75,L,0,0
MC8000008709,28,2200,20130,0,0,21090,960,0,0,247,1800,2975,93.751,93.749,93.749,0,0,A1,T,M,2,2975,2975,10.383,10.383,10.383,247,1800,2975,2975,2975,10.383,10.383,10.383,2975,10.383,0,247,1800,0,0,27.75,2260,10.383,0.8,-0.8,L,0,0
MC8000008708,28,2200,20130,0,0,21090,960,0,0,247,1800,2975,93.751,93.749,93.749,0,0,A1,T,M,2,2975,2975,10.383,10.383,10.383,247,1800,2975,2975,2975,10.383,10.383,10.383,2975,10.383,0,247,1800,0,0,27.75,2260,10.383,0.8,-0.8,L,0,0
MC8000008707,28,2200,20130,0,0,21090,960,0,0,247,1800,2975,93.751,93.749,93.749,0,0,A1,T,M,2,2975,2975,10.383,10.383,10.383,247,1800,2975,2975,2975,10.383,10.383,10.383,2975,10.383,0,247,1800,0,0,27.75,2260,10.383,0.8,-0.8,L,0,0
MC8000008706,28,2200,26832,0,0,28052,1220,0,0,247,1800,3958,93.95,93.947,93.947,0,0,A1,T,M,3,3958,3958,13.814,13.814,13.814,247,1800,3958,3958,3958,13.811,13.814,13.814,3958,13.811,0,247,1800,0,0,27.75,2260,13.81,0.8,-0.8,L,0,0
MC8000008705,28,2200,26832,0,0,28052,1220,0,0,247,1800,3958,93.95,93.947,93.947,0,0,A1,T,M,3,3958,3958,13.814,13.814,13.814,247,1800,3958,3958,3958,13.811,13.814,13.814,3958,13.811,0,247,1800,0,0,27.75,2260,13.81,0.8,-0.8,L,0,0
