   ,roll_thick,roll_width,corect_length,len_crop,MAX(ROLL_AIM_LEN-COMBINE_PLATE
830,70,2200,18600,700,700
831,65,2200,19510,700,700
832,60,2400,18000,650,650
833,65,2600,10700,420,420
834,55,2200,20402,800,800
835,95,2200,11800,530,530
836,50,2200,22130,850,850
838,100,2500,9952,470,470
839,40,2500,24879,1120,1120
840,80,2200,17614,800,800
841,36,2500,23036,900,900
842,150,2600,7981,270,270
843,35,2200,28200,1100,1100
844,70,2200,16300,650,650
845,55,2500,19944,900,900
846,36,2300,19060,900,900
847,180,2500,6911,250,250
848,60,2500,20732,940,940
849,65,2200,21600,1000,1000
850,36,3220,23480,1350,1350
851,36,3180,21000,1200,1200
852,36,3110,23520,1350,1350
853,36,2750,23520,1200,1200
854,170,2200,6631,250,250
855,36,2280,22560,1080,1080
856,36,2270,23710,1100,1100
857,30,2130,25800,1190,1190
858,140,3000,6300,280,280
859,50,2030,8750,320,320
860,120,2500,10366,500,500
861,40,2100,24300,1120,1120
862,40,2150,23270,1090,1090
863,40,2680,23076,1140,1140
864,50,3440,12440,750,750
865,50,3370,16540,1000,1000
866,50,2000,10000,370,370
867,25,2200,24000,1090,1090
868,100,2500,9800,470,470
869,100,2200,9864,470,470
871,350,2200,4026,140,140
874,40,2500,23560,1100,1100
875,145,2200,9150,470,470
876,110,2200,10300,420,420
877,85,2200,9947,470,470
878,32,2020,24720,1120,1120
879,50,2500,21326,1000,1000
881,50,2600,22600,1080,1080
883,50,2610,12120,500,500
884,28,2200,23066,1100,1100
889,45,2200,22268,850,850
890,90,2200,8400,320,320
891,28,2420,24720,1120,1120
892,135,2200,8016,320,320
893,32,2530,24000,1180,1180
894,50,2030,20600,800,800
895,50,2030,18800,700,700
898,50,2030,17000,650,650
899,120,2200,10803,420,420
901,300,2200,4697,200,200
902,45,2700,20400,960,960
903,70,2500,11800,530,530
904,78,2400,11064,530,530
906,80,2200,18000,800,800
907,125,2200,9018,470,470
908,69,2200,17970,800,800
909,28,2300,24900,1120,1120
910,119,2200,8150,320,320
911,50,2200,21136,1050,1050
912,100,2500,10503,500,500
913,45,2200,25050,1120,1120
914,35,2400,27741,1000,1000
915,140,2200,7381,270,270
916,40,2380,24168,1120,1120
917,25,2400,28245,1100,1100
918,60,2200,23400,1100,1100
919,90,2500,11700,530,530
920,60,2500,19138,900,900
924,80,2500,10400,500,500
929,160,2000,8440,350,350
930,100,2400,11096,530,530
932,60,2200,17888,800,800
933,100,2600,10300,420,420
934,140,3600,6110,490,490
936,150,2200,7515,270,270
937,70,2200,16500,800,800
938,45,2200,27555,1000,1000
940,70,2500,16700,800,800
941,65,2500,19138,920,920
942,55,2400,22200,1080,1080
943,80,2060,15500,700,700
944,25,2260,26208,1220,1220
945,85,2100,10407,500,500
946,50,2200,22302,1080,1080
947,60,2480,14075,650,650
948,48,2650,22000,960,960
949,170,2200,7800,350,350
950,45,2200,16600,800,800
951,82,2400,10525,500,500
952,45,2070,27266,1280,1280
953,110,2600,10186,500,500
955,100,3000,8450,320,320
956,100,2500,10050,500,500
957,135,2400,7671,270,270
958,115,2400,9005,470,470
959,30,2200,26304,1220,1220
960,40,2200,23200,1100,1100
961,60,2600,14000,600,600
962,100,2200,10821,500,500
963,40,2130,21200,1000,1000
965,40,2200,25620,1120,1120
966,28,2350,28600,1350,1350
967,85,2250,10600,500,500
968,60,2190,20906,940,940
969,60,2400,21000,960,960
970,80,2200,11159,540,540
971,45,2580,20310,960,960
972,70,2400,10568,500,500
976,140,2200,8200,350,350
977,250,2000,5800,250,250
978,320,2000,4600,140,140
979,140,2000,4220,200,200
980,45,2200,20876,960,960
981,26,2300,22490,1080,1080
982,35,2200,20200,960,960
983,110,2500,11309,540,540
984,100,2200,11649,540,540
985,200,2200,3100,170,170
987,36,2200,20000,920,920
988,40,2200,27243,1280,1280
989,35,2200,21800,1050,1050
990,40,2200,10700,500,500
991,210,2200,6300,280,280
992,50,2200,20000,920,920
993,45,2200,21710,1000,1000
994,26,2610,21770,820,820
995,80,2200,9500,470,470
996,25,2200,28200,1350,1350
1000,50,2200,11022,540,540
1001,40,2200,17614,800,800
1002,50,2200,11600,540,540
1003,45,2500,11323,540,540
1005,36,2300,20100,960,960
1008,180,2200,7828,350,350
1010,50,2500,10996,500,500
1011,45,2200,11387,540,540
1012,60,2200,11771,540,540
1013,35,2200,20130,800,800
1014,160,2200,7133,270,270
1015,130,2200,8413,320,320
1016,100,2500,10814,420,420
1017,60,2500,10653,420,420
1018,36,2200,19570,700,700
1019,60,2200,11743,450,450
1020,50,2430,11000,420,420
1021,50,2430,10000,370,370
1022,45,2200,11387,450,450
1023,50,2200,11491,450,450
1024,50,2200,11601,450,450
1025,36,3220,10980,700,700
1026,80,2200,11800,450,450
1027,110,2200,8885,320,320
1028,110,2200,9650,370,370
1029,120,2200,7000,250,250
1030,90,3000,9000,320,320
1031,90,2200,9650,370,370
1032,36,2010,20400,800,800
1033,60,3000,11500,450,450
1034,50,2500,9952,370,370
1035,55,3000,12000,450,450
1036,120,2200,11000,420,420
1037,100,2200,11453,450,450
1039,40,2500,20000,700,700
1040,50,2030,17500,650,650
1041,260,2200,4350,200,200
1042,90,2200,10960,420,420
1046,110,2000,12000,450,450
1048,70,2200,18800,700,700
1049,70,3050,6500,400,400
1050,150,2200,8900,320,320
1051,140,2900,6540,250,250
