,roll_thick,roll_width,corect_length,tcrop,hcrop,roll_length,len_crop,,,,,,,,,,,,,,i_length_slot,,,,,,,,,,,,,,,,,,,,,,,,,,,d_cut_width_i,
MC8000002485,40,2200,23000,0,0,23850,850,0,0,395,2000,2713,94.466,94.465,94.465,0,0,A1,C,M,2,2713,2713,16.825,16.825,16.825,395,2000,2713,2713,2713,16.819,16.825,16.825,2713,16.819,0,395,2000,0,0,39.75,2260,16.819,0.8,-0.8,L,0,0
MC8000003793,50,2200,22968,0,0,23818,850,0,0,395,2000,3387,94.438,94.438,94.438,0,0,A1,T,M,2,3387,3387,21.004,21.004,21.004,395,2000,3387,3387,3387,21.001,21.004,21.004,3387,21.001,0,395,2000,0,0,49.7,2260,21.001,0.9,-0.9,L,0,0
MC8000000100,50,2200,22952,0,0,23802,850,0,0,395,1800,3761,94.435,94.435,94.435,0,0,A1,C,M,2,3761,3761,20.991,20.991,20.991,395,1800,3761,3761,3761,20.987,20.991,20.991,3761,20.987,0,395,1800,0,0,49.7,2260,20.987,0.9,-0.9,L,0,0
MC8000000099,50,2200,22952,0,0,23802,850,0,0,395,1800,3761,94.435,94.435,94.435,0,0,A1,C,M,2,3761,3761,20.991,20.991,20.991,395,1800,3761,3761,3761,20.987,20.991,20.991,3761,20.987,0,395,1800,0,0,49.7,2260,20.987,0.9,-0.9,L,0,0
MC8000000098,50,2200,22952,0,0,23802,850,0,0,395,1800,3761,94.435,94.435,94.435,0,0,A1,C,M,2,3761,3761,20.991,20.991,20.991,395,1800,3761,3761,3761,20.987,20.991,20.991,3761,20.987,0,395,1800,0,0,49.7,2260,20.987,0.9,-0.9,L,0,0
MC8000000097,50,2200,22952,0,0,23802,850,0,0,395,1800,3761,94.435,94.435,94.435,0,0,A1,C,M,2,3761,3761,20.991,20.991,20.991,395,1800,3761,3761,3761,20.987,20.991,20.991,3761,20.987,0,395,1800,0,0,49.7,2260,20.987,0.9,-0.9,L,0,0
MC8000000096,50,2200,22952,0,0,23802,850,0,0,395,1800,3761,94.435,94.435,94.435,0,0,A1,C,M,2,3761,3761,20.991,20.991,20.991,395,1800,3761,3761,3761,20.987,20.991,20.991,3761,20.987,0,395,1800,0,0,49.7,2260,20.987,0.9,-0.9,L,0,0
MC8000000095,50,2200,22952,0,0,23802,850,0,0,395,1800,3761,94.435,94.435,94.435,0,0,A1,C,M,2,3761,3761,20.991,20.991,20.991,395,1800,3761,3761,3761,20.987,20.991,20.991,3761,20.987,0,395,1800,0,0,49.7,2260,20.987,0.9,-0.9,L,0,0
MC8000002699,50,2200,22874,0,0,23724,850,0,0,395,2000,3374,94.424,94.421,94.426,0,0,A1,C,M,2,3374,3374,20.924,20.924,20.924,395,2000,3374,3374,3374,20.918,20.924,20.924,3374,20.918,0,395,2000,0,0,49.7,2260,20.918,0.9,-0.9,L,0,0
MC8000002250,40,2500,22618,0,0,23468,850,0,0,395,2000,3023,94.711,94.708,94.708,0,0,A1,C,M,2,3023,3023,18.747,18.747,18.747,395,2000,3023,3023,3023,18.747,18.747,18.747,3023,18.747,0,395,2000,0,0,39.75,2560,18.747,0.8,-0.8,L,0,0
MC8000002249,40,2500,22618,0,0,23468,850,0,0,395,2000,3023,94.711,94.708,94.708,0,0,A1,C,M,2,3023,3023,18.747,18.747,18.747,395,2000,3023,3023,3023,18.747,18.747,18.747,3023,18.747,0,395,2000,0,0,39.75,2560,18.747,0.8,-0.8,L,0,0
MC8000002105,50,2200,22546,0,0,23396,850,0,0,395,2000,3327,94.375,94.377,94.377,0,0,A1,C,M,2,3327,3327,20.632,20.632,20.632,395,2000,3327,3327,3327,20.628,20.632,20.632,3327,20.628,0,395,2000,0,0,49.7,2260,20.629,0.9,-0.9,L,0,0
MC8000003120,50,2600,22400,0,0,23250,850,0,0,395,2000,3887,94.835,94.835,94.835,0,0,A1,J,M,2,3887,3887,24.105,24.105,24.105,395,2000,3887,3887,3887,24.104,24.105,24.105,3887,24.104,0,395,2000,0,0,49.65,2660,24.104,1.1,-1.1,L,0,0
MC8000003119,50,2600,22400,0,0,23250,850,0,0,395,2000,3887,94.835,94.835,94.835,0,0,A1,J,M,2,3887,3887,24.105,24.105,24.105,395,2000,3887,3887,3887,24.104,24.105,24.105,3887,24.104,0,395,2000,0,0,49.65,2660,24.104,1.1,-1.1,L,0,0
MC8000004068,34,2300,22400,0,0,23250,850,0,1,395,2000,2345,94.59,94.593,94.593,0,0,A1,J,M,2,2345,2345,14.543,14.543,14.543,395,2000,2345,2345,2345,14.537,14.543,14.543,2345,14.537,0,395,2000,0,0,33.75,2360,14.537,0.8,-0.8,L,0,0
MC8000002489,60,2200,22400,0,0,23250,850,0,0,395,2000,3971,94.258,94.258,94.258,0,0,A1,C,M,2,3971,3971,24.626,24.626,24.626,395,2000,3971,3971,3971,24.625,24.626,24.626,3971,24.625,0,395,2000,0,0,59.7,2260,24.625,0.9,-0.9,L,0,0
MC8000002488,60,2200,22400,0,0,23250,850,0,0,395,2000,3971,94.258,94.258,94.258,0,0,A1,C,M,2,3971,3971,24.626,24.626,24.626,395,2000,3971,3971,3971,24.625,24.626,24.626,3971,24.625,0,395,2000,0,0,59.7,2260,24.625,0.9,-0.9,L,0,0
MC8000002632,40,2500,22309,0,0,23159,850,0,0,395,2000,2984,94.664,94.665,94.665,0,0,A1,C,M,2,2984,2984,18.505,18.505,18.505,395,2000,2984,2984,2984,18.5,18.505,18.505,2984,18.5,0,395,2000,0,0,39.75,2560,18.5,0.8,-0.8,L,0,0
MC8000003812,45,2200,22268,0,0,23118,850,0,0,395,2000,2957,94.395,94.393,94.393,0,0,A1,T,M,2,2957,2957,18.338,18.338,18.338,395,2000,2957,2957,2957,18.334,18.338,18.338,2957,18.334,0,395,2000,0,0,44.7,2260,18.333,0.9,-0.9,L,0,0
MC8000002522,60,2200,22200,0,0,23050,850,0,0,395,2000,3937,94.227,94.228,94.228,0,0,A1,C,M,2,3937,3937,24.415,24.415,24.415,395,2000,3937,3937,3937,24.413,24.415,24.415,3937,24.413,0,395,2000,0,0,59.7,2260,24.413,0.9,-0.9,L,0,0
MC8000003625,50,2200,22130,0,0,22980,850,0,0,395,2000,3268,94.31,94.31,94.31,0,0,A1,C,M,2,3268,3268,20.267,20.267,20.267,395,2000,3268,3268,3268,20.262,20.267,20.267,3268,20.262,0,395,2000,0,0,49.7,2260,20.262,0.9,-0.9,L,0,0
MC8000002251,40,2200,22104,0,0,22954,850,0,0,395,2000,2611,94.33,94.329,94.329,0,0,A1,C,M,2,2611,2611,16.192,16.192,16.192,395,2000,2611,2611,2611,16.187,16.192,16.192,2611,16.187,0,395,2000,0,0,39.75,2260,16.187,0.8,-0.8,L,0,0
MC8000000436,32,2200,22018,0,0,22868,850,0,0,247,1800,3691,94.465,94.465,94.465,0,0,A1,C,M,2,3691,3691,12.882,12.882,12.882,247,1800,3691,3691,3691,12.881,12.882,12.882,3691,12.881,0,247,1800,0,0,31.75,2260,12.881,0.8,-0.8,L,0,0
MC8000000435,32,2200,22018,0,0,22868,850,0,0,247,1800,3691,94.465,94.465,94.465,0,0,A1,C,M,2,3691,3691,12.882,12.882,12.882,247,1800,3691,3691,3691,12.881,12.882,12.882,3691,12.881,0,247,1800,0,0,31.75,2260,12.881,0.8,-0.8,L,0,0
MC8000000434,32,2200,22018,0,0,22868,850,0,0,247,1800,3691,94.465,94.465,94.465,0,0,A1,C,M,2,3691,3691,12.882,12.882,12.882,247,1800,3691,3691,3691,12.881,12.882,12.882,3691,12.881,0,247,1800,0,0,31.75,2260,12.881,0.8,-0.8,L,0,0
MC8000000433,32,2200,22018,0,0,22868,850,0,0,247,1800,3691,94.465,94.465,94.465,0,0,A1,C,M,2,3691,3691,12.882,12.882,12.882,247,1800,3691,3691,3691,12.881,12.882,12.882,3691,12.881,0,247,1800,0,0,31.75,2260,12.881,0.8,-0.8,L,0,0
MC8000002635,40,2500,22000,0,0,22800,800,0,0,395,2000,2937,94.822,94.822,94.822,0,0,A1,C,M,2,2937,2937,18.214,18.214,18.214,395,2000,2937,2937,2937,18.213,18.214,18.214,2937,18.213,0,395,2000,0,0,39.75,2560,18.213,0.8,-0.8,L,0,0
MC8000002634,40,2500,22000,0,0,22800,800,0,0,395,2000,2937,94.822,94.822,94.822,0,0,A1,C,M,2,2937,2937,18.214,18.214,18.214,395,2000,2937,2937,2937,18.213,18.214,18.214,2937,18.213,0,395,2000,0,0,39.75,2560,18.213,0.8,-0.8,L,0,0
MC8000002633,40,2500,22000,0,0,22800,800,0,0,395,2000,2937,94.822,94.822,94.822,0,0,A1,C,M,2,2937,2937,18.214,18.214,18.214,395,2000,2937,2937,2937,18.213,18.214,18.214,2937,18.213,0,395,2000,0,0,39.75,2560,18.213,0.8,-0.8,L,0,0
MC8000002687,50,2200,22000,0,0,22800,800,0,0,395,2000,3242,94.496,94.498,94.498,0,0,A1,C,M,2,3242,3242,20.105,20.105,20.105,395,2000,3242,3242,3242,20.103,20.105,20.105,3242,20.103,0,395,2000,0,0,49.7,2260,20.103,0.9,-0.9,L,0,0
MC8000002686,50,2200,22000,0,0,22800,800,0,0,395,2000,3242,94.496,94.498,94.498,0,0,A1,C,M,2,3242,3242,20.105,20.105,20.105,395,2000,3242,3242,3242,20.103,20.105,20.105,3242,20.103,0,395,2000,0,0,49.7,2260,20.103,0.9,-0.9,L,0,0
MC8000002685,50,2200,22000,0,0,22800,800,0,0,395,2000,3242,94.496,94.498,94.498,0,0,A1,C,M,2,3242,3242,20.105,20.105,20.105,395,2000,3242,3242,3242,20.103,20.105,20.105,3242,20.103,0,395,2000,0,0,49.7,2260,20.103,0.9,-0.9,L,0,0
MC8000002684,50,2200,22000,0,0,22800,800,0,0,395,2000,3242,94.496,94.498,94.498,0,0,A1,C,M,2,3242,3242,20.105,20.105,20.105,395,2000,3242,3242,3242,20.103,20.105,20.105,3242,20.103,0,395,2000,0,0,49.7,2260,20.103,0.9,-0.9,L,0,0
MC8000002683,50,2200,22000,0,0,22800,800,0,0,395,2000,3242,94.496,94.498,94.498,0,0,A1,C,M,2,3242,3242,20.105,20.105,20.105,395,2000,3242,3242,3242,20.103,20.105,20.105,3242,20.103,0,395,2000,0,0,49.7,2260,20.103,0.9,-0.9,L,0,0
MC8000002682,50,2200,22000,0,0,22800,800,0,0,395,2000,3242,94.496,94.498,94.498,0,0,A1,C,M,2,3242,3242,20.105,20.105,20.105,395,2000,3242,3242,3242,20.103,20.105,20.105,3242,20.103,0,395,2000,0,0,49.7,2260,20.103,0.9,-0.9,L,0,0
MC8000002681,50,2200,22000,0,0,22800,800,0,0,395,2000,3242,94.496,94.498,94.498,0,0,A1,C,M,2,3242,3242,20.105,20.105,20.105,395,2000,3242,3242,3242,20.103,20.105,20.105,3242,20.103,0,395,2000,0,0,49.7,2260,20.103,0.9,-0.9,L,0,0
MC8000002638,40,2200,22000,0,0,22800,800,0,0,395,2000,2593,94.52,94.521,94.521,0,0,A1,C,M,2,2593,2593,16.08,16.08,16.08,395,2000,2593,2593,2593,16.079,16.08,16.08,2593,16.079,0,395,2000,0,0,39.75,2260,16.079,0.8,-0.8,L,0,0
MC8000002501,40,2200,22000,0,0,22800,800,0,0,395,2000,2593,94.52,94.521,94.521,0,0,A1,C,M,2,2593,2593,16.08,16.08,16.08,395,2000,2593,2593,2593,16.079,16.08,16.08,2593,16.079,0,395,2000,0,0,39.75,2260,16.079,0.8,-0.8,L,0,0
MC8000000430,25,2200,22000,0,0,22800,800,0,0,247,1800,2869,94.878,94.866,94.876,0,0,A1,C,M,2,2869,2869,10.013,10.013,10.013,247,1800,2869,2869,2869,10.012,10.013,10.013,2869,10.012,0,247,1800,0,0,24.75,2260,10.011,0.75,-0.75,L,0,0
MC8000002335,45,2200,21920,0,0,22720,800,0,0,395,2000,2906,94.548,94.55,94.55,0,0,A1,C,M,2,2906,2906,18.022,18.022,18.022,395,2000,2906,2906,2906,18.017,18.022,18.022,2906,18.017,0,395,2000,0,0,44.7,2260,18.017,0.9,-0.9,L,0,0
MC8000002334,45,2200,21920,0,0,22720,800,0,0,395,2000,2906,94.548,94.55,94.55,0,0,A1,C,M,2,2906,2906,18.022,18.022,18.022,395,2000,2906,2906,2906,18.017,18.022,18.022,2906,18.017,0,395,2000,0,0,44.7,2260,18.017,0.9,-0.9,L,0,0
MC8000002333,45,2200,21920,0,0,22720,800,0,0,395,2000,2906,94.548,94.55,94.55,0,0,A1,C,M,2,2906,2906,18.022,18.022,18.022,395,2000,2906,2906,2906,18.017,18.022,18.022,2906,18.017,0,395,2000,0,0,44.7,2260,18.017,0.9,-0.9,L,0,0
MC8000002332,45,2200,21920,0,0,22720,800,0,0,395,2000,2906,94.548,94.55,94.55,0,0,A1,C,M,2,2906,2906,18.022,18.022,18.022,395,2000,2906,2906,2906,18.017,18.022,18.022,2906,18.017,0,395,2000,0,0,44.7,2260,18.017,0.9,-0.9,L,0,0
MC8000000412,30,2200,21876,0,0,22676,800,0,0,247,1800,3430,94.7,94.703,94.703,0,0,A1,C,M,2,3430,3430,11.971,11.971,11.971,247,1800,3430,3430,3430,11.968,11.971,11.971,3430,11.968,0,247,1800,0,0,29.75,2260,11.968,0.8,-0.8,L,0,0
MC8000000411,30,2200,21876,0,0,22676,800,0,0,247,1800,3430,94.7,94.703,94.703,0,0,A1,C,M,2,3430,3430,11.971,11.971,11.971,247,1800,3430,3430,3430,11.968,11.971,11.971,3430,11.968,0,247,1800,0,0,29.75,2260,11.968,0.8,-0.8,L,0,0
MC8000000410,30,2200,21876,0,0,22676,800,0,0,247,1800,3430,94.7,94.703,94.703,0,0,A1,C,M,2,3430,3430,11.971,11.971,11.971,247,1800,3430,3430,3430,11.968,11.971,11.971,3430,11.968,0,247,1800,0,0,29.75,2260,11.968,0.8,-0.8,L,0,0
MC8000000409,30,2200,21876,0,0,22676,800,0,0,247,1800,3430,94.7,94.703,94.703,0,0,A1,C,M,2,3430,3430,11.971,11.971,11.971,247,1800,3430,3430,3430,11.968,11.971,11.971,3430,11.968,0,247,1800,0,0,29.75,2260,11.968,0.8,-0.8,L,0,0
MC8000000408,30,2200,21876,0,0,22676,800,0,0,247,1800,3430,94.7,94.703,94.703,0,0,A1,C,M,2,3430,3430,11.971,11.971,11.971,247,1800,3430,3430,3430,11.968,11.971,11.971,3430,11.968,0,247,1800,0,0,29.75,2260,11.968,0.8,-0.8,L,0,0
MC8000000407,30,2200,21876,0,0,22676,800,0,0,247,1800,3430,94.7,94.703,94.703,0,0,A1,C,M,2,3430,3430,11.971,11.971,11.971,247,1800,3430,3430,3430,11.968,11.971,11.971,3430,11.968,0,247,1800,0,0,29.75,2260,11.968,0.8,-0.8,L,0,0
MC8000003913,50,2450,21838,0,0,22638,800,0,1,395,2000,3575,94.729,94.727,94.727,0,0,A1,C,M,2,3575,3575,22.17,22.17,22.17,395,2000,3575,3575,3575,22.169,22.17,22.17,3575,22.169,0,395,2000,0,0,49.7,2510,22.169,0.9,-0.9,L,0,0
