,,,corect_length,,,,,,,,,,,,,i_length_slot,,,,,,,,,,,,,,,,,,,,,,,,roll_length,,,,,hcrop,tcrop,d_cut_width_i,
MC7000000563,100,2200,11580,0,395,1800,3809,94.08,94.082,94.082,0,0,A1,C,M,1,3809,3809,21.259,21.259,21.259,395,1800,3809,3809,3809,21.257,21.259,21.259,3809,21.257,0,0,395,1800,0,0,99.6,2260,12030,21.257,1.1,-1.1,L,0,0,0,0
MC7000000564,100,2200,11135,0,395,1800,3668,93.94,93.938,93.938,0,0,A1,C,M,1,3668,3668,20.472,20.472,20.472,395,1800,3668,3668,3668,20.471,20.472,20.472,3668,20.471,0,0,395,1800,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC7000000565,100,2200,11135,0,395,1800,3668,93.94,93.938,93.938,0,0,A1,C,M,1,3668,3668,20.472,20.472,20.472,395,1800,3668,3668,3668,20.471,20.472,20.472,3668,20.471,0,0,395,1800,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC7000000566,100,2200,11135,0,395,1800,3668,93.94,93.938,93.938,0,0,A1,C,M,1,3668,3668,20.472,20.472,20.472,395,1800,3668,3668,3668,20.471,20.472,20.472,3668,20.471,0,0,395,1800,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC7000000567,100,2200,11135,0,395,1800,3668,93.94,93.938,93.938,0,0,A1,C,M,1,3668,3668,20.472,20.472,20.472,395,1800,3668,3668,3668,20.471,20.472,20.472,3668,20.471,0,0,395,1800,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC7000000568,100,2200,11135,0,395,1800,3668,93.94,93.938,93.938,0,0,A1,C,M,1,3668,3668,20.472,20.472,20.472,395,1800,3668,3668,3668,20.471,20.472,20.472,3668,20.471,0,0,395,1800,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC7000000569,100,2200,11135,0,395,1800,3668,93.94,93.938,93.938,0,0,A1,C,M,1,3668,3668,20.472,20.472,20.472,395,1800,3668,3668,3668,20.471,20.472,20.472,3668,20.471,0,0,395,1800,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC7000000570,100,2200,11135,0,395,1800,3668,93.94,93.938,93.938,0,0,A1,C,M,1,3668,3668,20.472,20.472,20.472,395,1800,3668,3668,3668,20.471,20.472,20.472,3668,20.471,0,0,395,1800,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC7000000571,100,2200,11135,0,395,1800,3668,93.94,93.938,93.938,0,0,A1,C,M,1,3668,3668,20.472,20.472,20.472,395,1800,3668,3668,3668,20.471,20.472,20.472,3668,20.471,0,0,395,1800,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC7000000572,100,2200,11135,0,395,1800,3668,93.94,93.938,93.938,0,0,A1,C,M,1,3668,3668,20.472,20.472,20.472,395,1800,3668,3668,3668,20.471,20.472,20.472,3668,20.471,0,0,395,1800,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC7000000573,100,2200,11135,0,395,1800,3668,93.94,93.938,93.938,0,0,A1,C,M,1,3668,3668,20.472,20.472,20.472,395,1800,3668,3668,3668,20.471,20.472,20.472,3668,20.471,0,0,395,1800,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC7000000574,100,2200,11135,0,395,1800,3668,93.94,93.938,93.938,0,0,A1,C,M,1,3668,3668,20.472,20.472,20.472,395,1800,3668,3668,3668,20.471,20.472,20.472,3668,20.471,0,0,395,1800,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC7000000575,100,2200,11135,0,395,1800,3668,93.94,93.938,93.938,0,0,A1,C,M,1,3668,3668,20.472,20.472,20.472,395,1800,3668,3668,3668,20.471,20.472,20.472,3668,20.471,0,0,395,1800,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC7000000576,100,2200,11135,0,395,1800,3668,93.94,93.938,93.938,0,0,A1,C,M,1,3668,3668,20.472,20.472,20.472,395,1800,3668,3668,3668,20.471,20.472,20.472,3668,20.471,0,0,395,1800,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC7000000577,100,2200,10856,0,395,1800,3570,94.096,94.098,94.098,0,0,A1,C,M,1,3570,3570,19.925,19.925,19.925,395,1800,3570,3570,3570,19.924,19.925,19.925,3570,19.924,0,0,395,1800,0,0,99.6,2260,11276,19.925,1.1,-1.1,L,0,0,0,0
MC7000000578,100,2200,10856,0,395,1800,3570,94.096,94.098,94.098,0,0,A1,C,M,1,3570,3570,19.925,19.925,19.925,395,1800,3570,3570,3570,19.924,19.925,19.925,3570,19.924,0,0,395,1800,0,0,99.6,2260,11276,19.925,1.1,-1.1,L,0,0,0,0
MC7000000579,100,2200,10856,0,395,1800,3570,94.096,94.098,94.098,0,0,A1,C,M,1,3570,3570,19.925,19.925,19.925,395,1800,3570,3570,3570,19.924,19.925,19.925,3570,19.924,0,0,395,1800,0,0,99.6,2260,11276,19.925,1.1,-1.1,L,0,0,0,0
MC7000000580,100,2200,10856,0,395,1800,3570,94.096,94.098,94.098,0,0,A1,C,M,1,3570,3570,19.925,19.925,19.925,395,1800,3570,3570,3570,19.924,19.925,19.925,3570,19.924,0,0,395,1800,0,0,99.6,2260,11276,19.925,1.1,-1.1,L,0,0,0,0
MC7000000581,100,2200,10856,0,395,1800,3570,94.096,94.098,94.098,0,0,A1,C,M,1,3570,3570,19.925,19.925,19.925,395,1800,3570,3570,3570,19.924,19.925,19.925,3570,19.924,0,0,395,1800,0,0,99.6,2260,11276,19.925,1.1,-1.1,L,0,0,0,0
MC7000000582,100,2200,10856,0,395,1800,3570,94.096,94.098,94.098,0,0,A1,C,M,1,3570,3570,19.925,19.925,19.925,395,1800,3570,3570,3570,19.924,19.925,19.925,3570,19.924,0,0,395,1800,0,0,99.6,2260,11276,19.925,1.1,-1.1,L,0,0,0,0
MC7000000583,100,2200,10856,0,395,1800,3570,94.096,94.098,94.098,0,0,A1,C,M,1,3570,3570,19.925,19.925,19.925,395,1800,3570,3570,3570,19.924,19.925,19.925,3570,19.924,0,0,395,1800,0,0,99.6,2260,11276,19.925,1.1,-1.1,L,0,0,0,0
MC7000000584,100,2200,10856,0,395,1800,3570,94.096,94.098,94.098,0,0,A1,C,M,1,3570,3570,19.925,19.925,19.925,395,1800,3570,3570,3570,19.924,19.925,19.925,3570,19.924,0,0,395,1800,0,0,99.6,2260,11276,19.925,1.1,-1.1,L,0,0,0,0
MC7000000585,100,2200,9650,0,395,1800,3173,94.127,94.126,94.126,0,0,A1,C,M,1,3173,3173,17.71,17.71,17.71,395,1800,3173,3173,3173,17.706,17.71,17.71,3173,17.706,0,0,395,1800,0,0,99.6,2260,10020,17.705,1.1,-1.1,L,0,0,0,0
MC7000000586,100,2200,9650,0,395,1800,3173,94.127,94.126,94.126,0,0,A1,C,M,1,3173,3173,17.71,17.71,17.71,395,1800,3173,3173,3173,17.706,17.71,17.71,3173,17.706,0,0,395,1800,0,0,99.6,2260,10020,17.705,1.1,-1.1,L,0,0,0,0
MC7000000587,100,2200,9650,0,395,1800,3173,94.127,94.126,94.126,0,0,A1,C,M,1,3173,3173,17.71,17.71,17.71,395,1800,3173,3173,3173,17.706,17.71,17.71,3173,17.706,0,0,395,1800,0,0,99.6,2260,10020,17.705,1.1,-1.1,L,0,0,0,0
MC7000000588,100,2200,9650,0,395,1800,3173,94.127,94.126,94.126,0,0,A1,C,M,1,3173,3173,17.71,17.71,17.71,395,1800,3173,3173,3173,17.706,17.71,17.71,3173,17.706,0,0,395,1800,0,0,99.6,2260,10020,17.705,1.1,-1.1,L,0,0,0,0
MC7000000589,100,2200,9650,0,395,1800,3173,94.127,94.126,94.126,0,0,A1,C,M,1,3173,3173,17.71,17.71,17.71,395,1800,3173,3173,3173,17.706,17.71,17.71,3173,17.706,0,0,395,1800,0,0,99.6,2260,10020,17.705,1.1,-1.1,L,0,0,0,0
MC7000000590,100,2200,9650,0,395,1800,3173,94.127,94.126,94.126,0,0,A1,C,M,1,3173,3173,17.71,17.71,17.71,395,1800,3173,3173,3173,17.706,17.71,17.71,3173,17.706,0,0,395,1800,0,0,99.6,2260,10020,17.705,1.1,-1.1,L,0,0,0,0
MC7000000591,105,2200,11029,0,395,1800,3813,93.977,93.976,93.976,0,0,A1,C,M,1,3813,3813,21.282,21.282,21.282,395,1800,3813,3813,3813,21.281,21.282,21.282,3813,21.281,0,0,395,1800,0,0,104.5,2260,11479,21.281,1.4,-1.4,L,0,0,0,0
MC7000000592,105,2200,11029,0,395,1800,3813,93.977,93.976,93.976,0,0,A1,C,M,1,3813,3813,21.282,21.282,21.282,395,1800,3813,3813,3813,21.281,21.282,21.282,3813,21.281,0,0,395,1800,0,0,104.5,2260,11479,21.281,1.4,-1.4,L,0,0,0,0
MC7000000593,105,2200,11029,0,395,1800,3813,93.977,93.976,93.976,0,0,A1,C,M,1,3813,3813,21.282,21.282,21.282,395,1800,3813,3813,3813,21.281,21.282,21.282,3813,21.281,0,0,395,1800,0,0,104.5,2260,11479,21.281,1.4,-1.4,L,0,0,0,0
MC7000000594,105,2200,11029,0,395,1800,3813,93.977,93.976,93.976,0,0,A1,C,M,1,3813,3813,21.282,21.282,21.282,395,1800,3813,3813,3813,21.281,21.282,21.282,3813,21.281,0,0,395,1800,0,0,104.5,2260,11479,21.281,1.4,-1.4,L,0,0,0,0
MC7000000595,105,2200,10300,0,395,1800,3561,93.979,93.977,93.977,0,0,A1,C,M,1,3561,3561,19.875,19.875,19.875,395,1800,3561,3561,3561,19.875,19.875,19.875,3561,19.875,0,0,395,1800,0,0,104.5,2260,10720,19.874,1.4,-1.4,L,0,0,0,0
MC7000000596,105,2200,10300,0,395,1800,3561,93.979,93.977,93.977,0,0,A1,C,M,1,3561,3561,19.875,19.875,19.875,395,1800,3561,3561,3561,19.875,19.875,19.875,3561,19.875,0,0,395,1800,0,0,104.5,2260,10720,19.874,1.4,-1.4,L,0,0,0,0
MC7000000597,105,2200,10300,0,395,1800,3561,93.979,93.977,93.977,0,0,A1,C,M,1,3561,3561,19.875,19.875,19.875,395,1800,3561,3561,3561,19.875,19.875,19.875,3561,19.875,0,0,395,1800,0,0,104.5,2260,10720,19.874,1.4,-1.4,L,0,0,0,0
MC7000000599,110,2200,8773,0,395,1800,3165,94.348,94.35,94.35,0,0,A1,C,M,1,3165,3165,17.665,17.665,17.665,395,1800,3165,3165,3165,17.664,17.665,17.665,3165,17.664,0,0,395,1800,0,0,109.5,2260,9093,17.664,1.4,-1.4,L,0,0,0,0
MC7000000600,110,2200,8773,0,395,1800,3165,94.348,94.35,94.35,0,0,A1,C,M,1,3165,3165,17.665,17.665,17.665,395,1800,3165,3165,3165,17.664,17.665,17.665,3165,17.664,0,0,395,1800,0,0,109.5,2260,9093,17.664,1.4,-1.4,L,0,0,0,0
MC7000000601,110,2200,8773,0,395,1800,3165,94.348,94.35,94.35,0,0,A1,C,M,1,3165,3165,17.665,17.665,17.665,395,1800,3165,3165,3165,17.664,17.665,17.665,3165,17.664,0,0,395,1800,0,0,109.5,2260,9093,17.664,1.4,-1.4,L,0,0,0,0
MC7000000602,120,2200,9650,0,395,1800,3807,94.143,94.144,94.144,0,0,A1,C,M,1,3807,3807,21.248,21.248,21.248,395,1800,3807,3807,3807,21.243,21.248,21.248,3807,21.243,0,0,395,1800,0,0,119.5,2260,10020,21.243,1.4,-1.4,L,0,0,0,0
MC7000000603,120,2200,8300,0,395,1800,3275,94.124,94.123,94.123,0,0,A1,C,M,1,3275,3275,18.279,18.279,18.279,395,1800,3275,3275,3275,18.275,18.279,18.279,3275,18.275,0,0,395,1800,0,0,119.5,2260,8620,18.275,1.4,-1.4,L,0,0,0,0
MC7000000604,120,2200,8300,0,395,1800,3275,94.124,94.123,94.123,0,0,A1,C,M,1,3275,3275,18.279,18.279,18.279,395,1800,3275,3275,3275,18.275,18.279,18.279,3275,18.275,0,0,395,1800,0,0,119.5,2260,8620,18.275,1.4,-1.4,L,0,0,0,0
MC7000000605,120,2200,8300,0,395,1800,3275,94.124,94.123,94.123,0,0,A1,C,M,1,3275,3275,18.279,18.279,18.279,395,1800,3275,3275,3275,18.275,18.279,18.279,3275,18.275,0,0,395,1800,0,0,119.5,2260,8620,18.275,1.4,-1.4,L,0,0,0,0
MC7000000606,130,2600,7537,0,395,1800,3781,94.765,94.764,94.764,0,0,A1,C,M,1,3781,3781,21.103,21.103,21.103,395,1800,3781,3781,3781,21.103,21.103,21.103,3781,21.103,0,0,395,1800,0,0,129.45,2660,7807,21.103,1.6,-1.6,L,0,0,0,0
MC7000000607,130,2600,7537,0,395,1800,3781,94.765,94.764,94.764,0,0,A1,C,M,1,3781,3781,21.103,21.103,21.103,395,1800,3781,3781,3781,21.103,21.103,21.103,3781,21.103,0,0,395,1800,0,0,129.45,2660,7807,21.103,1.6,-1.6,L,0,0,0,0
MC7000000608,130,2600,7537,0,395,1800,3781,94.765,94.764,94.764,0,0,A1,C,M,1,3781,3781,21.103,21.103,21.103,395,1800,3781,3781,3781,21.103,21.103,21.103,3781,21.103,0,0,395,1800,0,0,129.45,2660,7807,21.103,1.6,-1.6,L,0,0,0,0
MC7000000609,130,2600,7537,0,395,1800,3781,94.765,94.764,94.764,0,0,A1,C,M,1,3781,3781,21.103,21.103,21.103,395,1800,3781,3781,3781,21.103,21.103,21.103,3781,21.103,0,0,395,1800,0,0,129.45,2660,7807,21.103,1.6,-1.6,L,0,0,0,0
MC7000000610,130,2200,8908,0,395,1800,3799,94.332,94.33,94.33,0,0,A1,C,M,1,3799,3799,21.204,21.204,21.204,395,1800,3799,3799,3799,21.201,21.204,21.204,3799,21.201,0,0,395,1800,0,0,129.5,2260,9228,21.201,1.4,-1.4,L,0,0,0,0
