,,,corect_length,,,,,,,,,,,,,i_length_slot,,,,,,,,,,,,,,,,,,,,,,,,roll_length,,,,,hcrop,tcrop,d_cut_width_i,
MC8000000251,100,2200,11135,0,395,2000,3301,93.94,93.938,93.938,0,0,A1,C,M,1,3301,3301,20.471,20.471,20.471,395,2000,3301,3301,3301,20.471,20.471,20.471,3301,20.471,0,0,395,2000,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC8000000252,100,2200,11135,0,395,2000,3301,93.94,93.938,93.938,0,0,A1,C,M,1,3301,3301,20.471,20.471,20.471,395,2000,3301,3301,3301,20.471,20.471,20.471,3301,20.471,0,0,395,2000,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC8000000253,100,2200,11135,0,395,2000,3301,93.94,93.938,93.938,0,0,A1,C,M,1,3301,3301,20.471,20.471,20.471,395,2000,3301,3301,3301,20.471,20.471,20.471,3301,20.471,0,0,395,2000,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC8000000254,100,2200,11135,0,395,2000,3301,93.94,93.938,93.938,0,0,A1,C,M,1,3301,3301,20.471,20.471,20.471,395,2000,3301,3301,3301,20.471,20.471,20.471,3301,20.471,0,0,395,2000,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC8000000255,100,2200,11135,0,395,2000,3301,93.94,93.938,93.938,0,0,A1,C,M,1,3301,3301,20.471,20.471,20.471,395,2000,3301,3301,3301,20.471,20.471,20.471,3301,20.471,0,0,395,2000,0,0,99.6,2260,11585,20.471,1.1,-1.1,L,0,0,0,0
MC8000000257,90,2200,11279,0,395,2000,3007,94.028,94.03,94.03,0,0,A1,C,M,1,3007,3007,18.648,18.648,18.648,395,2000,3007,3007,3007,18.644,18.648,18.648,3007,18.644,0,0,395,2000,0,0,89.6,2260,11729,18.644,1.1,-1.1,L,0,0,0,0
MC8000000258,100,2200,11607,0,395,2000,3436,94.088,94.086,94.086,0,0,A1,C,M,1,3436,3436,21.308,21.308,21.308,395,2000,3436,3436,3436,21.305,21.308,21.308,3436,21.305,0,0,395,2000,0,0,99.6,2260,12057,21.305,1.1,-1.1,L,0,0,0,0
MC8000000259,100,2200,11607,0,395,2000,3436,94.088,94.086,94.086,0,0,A1,C,M,1,3436,3436,21.308,21.308,21.308,395,2000,3436,3436,3436,21.305,21.308,21.308,3436,21.305,0,0,395,2000,0,0,99.6,2260,12057,21.305,1.1,-1.1,L,0,0,0,0
MC8000000261,60,2200,18618,0,395,2000,3300,94.289,94.291,94.291,0,0,A1,C,M,2,3300,3300,20.465,20.465,20.465,395,2000,3300,3300,3300,20.46,20.465,20.465,3300,20.46,0,0,395,2000,0,0,59.7,2260,19318,20.46,0.9,-0.9,L,0,0,0,0
MC8000000262,60,2200,18618,0,395,2000,3300,94.289,94.291,94.291,0,0,A1,C,M,2,3300,3300,20.465,20.465,20.465,395,2000,3300,3300,3300,20.46,20.465,20.465,3300,20.46,0,0,395,2000,0,0,59.7,2260,19318,20.46,0.9,-0.9,L,0,0,0,0
MC8000000264,60,2200,16000,0,395,2000,2836,94.298,94.301,94.301,0,0,A1,C,M,2,2836,2836,17.587,17.587,17.587,395,2000,2836,2836,2836,17.581,17.587,17.587,2836,17.581,0,0,395,2000,0,0,59.7,2260,16600,17.582,0.9,-0.9,L,0,0,0,0
MC8000000265,60,2200,17984,0,395,2000,3183,94.422,94.421,94.421,0,0,A1,C,M,2,3183,3183,19.739,19.739,19.739,395,2000,3183,3183,3183,19.736,19.739,19.739,3183,19.736,0,0,395,2000,0,0,59.7,2260,18634,19.736,0.9,-0.9,L,0,0,0,0
MC8000000266,60,2200,17984,0,395,2000,3183,94.422,94.421,94.421,0,0,A1,C,M,2,3183,3183,19.739,19.739,19.739,395,2000,3183,3183,3183,19.736,19.739,19.739,3183,19.736,0,0,395,2000,0,0,59.7,2260,18634,19.736,0.9,-0.9,L,0,0,0,0
MC8000000277,50,2500,21000,0,395,2000,3511,94.64,94.64,94.64,0,0,A1,C,M,2,3511,3511,21.773,21.773,21.773,395,2000,3511,3511,3511,21.773,21.773,21.773,3511,21.773,0,0,395,2000,0,0,49.7,2560,21800,21.773,0.9,-0.9,L,0,0,0,0
MC8000000280,50,2500,21000,0,395,2000,3511,94.64,94.64,94.64,0,0,A1,C,M,2,3511,3511,21.773,21.773,21.773,395,2000,3511,3511,3511,21.773,21.773,21.773,3511,21.773,0,0,395,2000,0,0,49.7,2560,21800,21.773,0.9,-0.9,L,0,0,0,0
MC8000000281,50,2500,21000,0,395,2000,3511,94.64,94.64,94.64,0,0,A1,C,M,2,3511,3511,21.773,21.773,21.773,395,2000,3511,3511,3511,21.773,21.773,21.773,3511,21.773,0,0,395,2000,0,0,49.7,2560,21800,21.773,0.9,-0.9,L,0,0,0,0
MC8000000282,50,2500,21000,0,395,2000,3511,94.64,94.64,94.64,0,0,A1,C,M,2,3511,3511,21.773,21.773,21.773,395,2000,3511,3511,3511,21.773,21.773,21.773,3511,21.773,0,0,395,2000,0,0,49.7,2560,21800,21.773,0.9,-0.9,L,0,0,0,0
MC8000000283,50,2500,21000,0,395,2000,3511,94.64,94.64,94.64,0,0,A1,C,M,2,3511,3511,21.773,21.773,21.773,395,2000,3511,3511,3511,21.773,21.773,21.773,3511,21.773,0,0,395,2000,0,0,49.7,2560,21800,21.773,0.9,-0.9,L,0,0,0,0
MC8000000299,40,2500,16400,0,247,1800,3903,94.524,94.523,94.523,0,0,A1,C,M,2,3903,3903,13.622,13.622,13.622,247,1800,3903,3903,3903,13.62,13.622,13.622,3903,13.62,0,0,247,1800,0,0,39.75,2560,17050,13.62,0.8,-0.8,L,0,0,0,0
MC8000000300,40,2500,16400,0,247,1800,3903,94.524,94.523,94.523,0,0,A1,C,M,2,3903,3903,13.622,13.622,13.622,247,1800,3903,3903,3903,13.62,13.622,13.622,3903,13.62,0,0,247,1800,0,0,39.75,2560,17050,13.62,0.8,-0.8,L,0,0,0,0
MC8000000301,40,2500,16400,0,247,1800,3903,94.524,94.523,94.523,0,0,A1,C,M,2,3903,3903,13.622,13.622,13.622,247,1800,3903,3903,3903,13.62,13.622,13.622,3903,13.62,0,0,247,1800,0,0,39.75,2560,17050,13.62,0.8,-0.8,L,0,0,0,0
MC8000000302,40,2200,18400,0,247,1800,3860,94.367,94.365,94.365,0,0,A1,C,M,2,3860,3860,13.472,13.472,13.472,247,1800,3860,3860,3860,13.47,13.472,13.472,3860,13.47,0,0,247,1800,0,0,39.75,2260,19100,13.469,0.8,-0.8,L,0,0,0,0
MC8000000303,40,2200,18400,0,247,1800,3860,94.367,94.365,94.365,0,0,A1,C,M,2,3860,3860,13.472,13.472,13.472,247,1800,3860,3860,3860,13.47,13.472,13.472,3860,13.47,0,0,247,1800,0,0,39.75,2260,19100,13.469,0.8,-0.8,L,0,0,0,0
MC8000000304,40,2200,18400,0,247,1800,3860,94.367,94.365,94.365,0,0,A1,C,M,2,3860,3860,13.472,13.472,13.472,247,1800,3860,3860,3860,13.47,13.472,13.472,3860,13.47,0,0,247,1800,0,0,39.75,2260,19100,13.469,0.8,-0.8,L,0,0,0,0
MC8000000305,40,2200,18400,0,247,1800,3860,94.367,94.365,94.365,0,0,A1,C,M,2,3860,3860,13.472,13.472,13.472,247,1800,3860,3860,3860,13.47,13.472,13.472,3860,13.47,0,0,247,1800,0,0,39.75,2260,19100,13.469,0.8,-0.8,L,0,0,0,0
MC8000000306,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000307,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000308,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000309,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000310,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000311,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000312,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000313,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000314,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000315,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000316,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000317,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000318,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000319,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000320,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000321,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000322,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000323,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000324,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000325,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000326,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000327,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000328,40,2200,18380,0,247,1800,3856,94.364,94.366,94.366,0,0,A1,C,M,2,3856,3856,13.458,13.458,13.458,247,1800,3856,3856,3856,13.455,13.458,13.458,3856,13.455,0,0,247,1800,0,0,39.75,2260,19080,13.455,0.8,-0.8,L,0,0,0,0
MC8000000329,40,2200,18788,0,247,1800,3938,94.439,94.441,94.441,0,0,A1,C,M,2,3938,3938,13.744,13.744,13.744,247,1800,3938,3938,3938,13.743,13.744,13.744,3938,13.743,0,0,247,1800,0,0,39.75,2260,19488,13.743,0.8,-0.8,L,0,0,0,0
MC8000000330,40,2200,16756,0,247,1800,3518,94.299,94.297,94.297,0,0,A1,C,M,2,3518,3518,12.278,12.278,12.278,247,1800,3518,3518,3518,12.275,12.278,12.278,3518,12.275,0,0,247,1800,0,0,39.75,2260,17406,12.275,0.8,-0.8,L,0,0,0,0
MC8000000331,40,2200,16756,0,247,1800,3518,94.299,94.297,94.297,0,0,A1,C,M,2,3518,3518,12.278,12.278,12.278,247,1800,3518,3518,3518,12.275,12.278,12.278,3518,12.275,0,0,247,1800,0,0,39.75,2260,17406,12.275,0.8,-0.8,L,0,0,0,0
MC8000000332,40,2200,16756,0,247,1800,3518,94.299,94.297,94.297,0,0,A1,C,M,2,3518,3518,12.278,12.278,12.278,247,1800,3518,3518,3518,12.275,12.278,12.278,3518,12.275,0,0,247,1800,0,0,39.75,2260,17406,12.275,0.8,-0.8,L,0,0,0,0
MC8000000333,40,2200,16756,0,247,1800,3518,94.299,94.297,94.297,0,0,A1,C,M,2,3518,3518,12.278,12.278,12.278,247,1800,3518,3518,3518,12.275,12.278,12.278,3518,12.275,0,0,247,1800,0,0,39.75,2260,17406,12.275,0.8,-0.8,L,0,0,0,0
MC8000000334,40,2200,16756,0,247,1800,3518,94.299,94.297,94.297,0,0,A1,C,M,2,3518,3518,12.278,12.278,12.278,247,1800,3518,3518,3518,12.275,12.278,12.278,3518,12.275,0,0,247,1800,0,0,39.75,2260,17406,12.275,0.8,-0.8,L,0,0,0,0
MC8000000335,40,2200,16756,0,247,1800,3518,94.299,94.297,94.297,0,0,A1,C,M,2,3518,3518,12.278,12.278,12.278,247,1800,3518,3518,3518,12.275,12.278,12.278,3518,12.275,0,0,247,1800,0,0,39.75,2260,17406,12.275,0.8,-0.8,L,0,0,0,0
MC8000000336,40,2200,16756,0,247,1800,3518,94.299,94.297,94.297,0,0,A1,C,M,2,3518,3518,12.278,12.278,12.278,247,1800,3518,3518,3518,12.275,12.278,12.278,3518,12.275,0,0,247,1800,0,0,39.75,2260,17406,12.275,0.8,-0.8,L,0,0,0,0
MC8000000337,40,2200,16756,0,247,1800,3518,94.299,94.297,94.297,0,0,A1,C,M,2,3518,3518,12.278,12.278,12.278,247,1800,3518,3518,3518,12.275,12.278,12.278,3518,12.275,0,0,247,1800,0,0,39.75,2260,17406,12.275,0.8,-0.8,L,0,0,0,0
MC8000000338,40,2200,16756,0,247,1800,3518,94.299,94.297,94.297,0,0,A1,C,M,2,3518,3518,12.278,12.278,12.278,247,1800,3518,3518,3518,12.275,12.278,12.278,3518,12.275,0,0,247,1800,0,0,39.75,2260,17406,12.275,0.8,-0.8,L,0,0,0,0
MC8000000339,40,2200,16400,0,247,1800,3446,94.223,94.22,94.22,0,0,A1,C,M,2,3446,3446,12.027,12.027,12.027,247,1800,3446,3446,3446,12.024,12.027,12.027,3446,12.024,0,0,247,1800,0,0,39.75,2260,17050,12.024,0.8,-0.8,L,0,0,0,0
MC8000000340,25,2200,20000,0,247,1800,2605,95.003,95.005,95.005,0,0,A1,C,M,2,2605,2605,9.092,9.092,9.092,247,1800,2605,2605,2605,9.089,9.092,9.092,2605,9.089,0,0,247,1800,0,0,24.75,2260,20700,9.089,0.75,-0.75,L,0,0,0,0
MC8000000341,25,2200,27900,0,247,1800,3636,94.926,94.925,94.925,0,0,A1,C,M,3,3636,3636,12.69,12.69,12.69,247,1800,3636,3636,3636,12.69,12.69,12.69,3636,12.69,0,0,247,1800,0,0,24.75,2260,28900,12.69,0.75,-0.75,L,0,0,0,0
MC8000000342,30,2200,25200,0,247,1800,3955,94.597,94.595,94.595,0,0,A1,C,M,3,3955,3955,13.803,13.803,13.803,247,1800,3955,3955,3955,13.802,13.803,13.803,3955,13.802,0,0,247,1800,0,0,29.75,2260,26150,13.802,0.8,-0.8,L,0,0,0,0
MC8000000343,30,2200,25200,0,247,1800,3955,94.597,94.595,94.595,0,0,A1,C,M,3,3955,3955,13.803,13.803,13.803,247,1800,3955,3955,3955,13.802,13.803,13.803,3955,13.802,0,0,247,1800,0,0,29.75,2260,26150,13.802,0.8,-0.8,L,0,0,0,0
MC8000000344,30,2200,25200,0,247,1800,3955,94.597,94.595,94.595,0,0,A1,C,M,3,3955,3955,13.803,13.803,13.803,247,1800,3955,3955,3955,13.802,13.803,13.803,3955,13.802,0,0,247,1800,0,0,29.75,2260,26150,13.802,0.8,-0.8,L,0,0,0,0
MC8000000345,30,2200,25200,0,247,1800,3955,94.597,94.595,94.595,0,0,A1,C,M,3,3955,3955,13.803,13.803,13.803,247,1800,3955,3955,3955,13.802,13.803,13.803,3955,13.802,0,0,247,1800,0,0,29.75,2260,26150,13.802,0.8,-0.8,L,0,0,0,0
MC8000000346,30,2200,25200,0,247,1800,3955,94.597,94.595,94.595,0,0,A1,C,M,3,3955,3955,13.803,13.803,13.803,247,1800,3955,3955,3955,13.802,13.803,13.803,3955,13.802,0,0,247,1800,0,0,29.75,2260,26150,13.802,0.8,-0.8,L,0,0,0,0
MC8000000347,30,2200,25200,0,247,1800,3955,94.597,94.595,94.595,0,0,A1,C,M,3,3955,3955,13.803,13.803,13.803,247,1800,3955,3955,3955,13.802,13.803,13.803,3955,13.802,0,0,247,1800,0,0,29.75,2260,26150,13.802,0.8,-0.8,L,0,0,0,0
MC8000000348,30,2200,25200,0,247,1800,3955,94.597,94.595,94.595,0,0,A1,C,M,3,3955,3955,13.803,13.803,13.803,247,1800,3955,3955,3955,13.802,13.803,13.803,3955,13.802,0,0,247,1800,0,0,29.75,2260,26150,13.802,0.8,-0.8,L,0,0,0,0
MC8000000349,30,2200,25200,0,247,1800,3955,94.597,94.595,94.595,0,0,A1,C,M,3,3955,3955,13.803,13.803,13.803,247,1800,3955,3955,3955,13.802,13.803,13.803,3955,13.802,0,0,247,1800,0,0,29.75,2260,26150,13.802,0.8,-0.8,L,0,0,0,0
MC8000000350,30,2200,25200,0,247,1800,3955,94.597,94.595,94.595,0,0,A1,C,M,3,3955,3955,13.803,13.803,13.803,247,1800,3955,3955,3955,13.802,13.803,13.803,3955,13.802,0,0,247,1800,0,0,29.75,2260,26150,13.802,0.8,-0.8,L,0,0,0,0
MC8000000351,30,2200,25200,0,247,1800,3955,94.597,94.595,94.595,0,0,A1,C,M,3,3955,3955,13.803,13.803,13.803,247,1800,3955,3955,3955,13.802,13.803,13.803,3955,13.802,0,0,247,1800,0,0,29.75,2260,26150,13.802,0.8,-0.8,L,0,0,0,0
MC8000000352,30,2200,25200,0,247,1800,3955,94.597,94.595,94.595,0,0,A1,C,M,3,3955,3955,13.803,13.803,13.803,247,1800,3955,3955,3955,13.802,13.803,13.803,3955,13.802,0,0,247,1800,0,0,29.75,2260,26150,13.802,0.8,-0.8,L,0,0,0,0
MC8000000353,30,2200,25155,0,247,1800,3948,94.591,94.593,94.593,0,0,A1,C,M,3,3948,3948,13.779,13.779,13.779,247,1800,3948,3948,3948,13.778,13.779,13.779,3948,13.778,0,0,247,1800,0,0,29.75,2260,26105,13.778,0.8,-0.8,L,0,0,0,0
MC8000000354,30,2200,25155,0,247,1800,3948,94.591,94.593,94.593,0,0,A1,C,M,3,3948,3948,13.779,13.779,13.779,247,1800,3948,3948,3948,13.778,13.779,13.779,3948,13.778,0,0,247,1800,0,0,29.75,2260,26105,13.778,0.8,-0.8,L,0,0,0,0
MC8000000355,30,2200,25155,0,247,1800,3948,94.591,94.593,94.593,0,0,A1,C,M,3,3948,3948,13.779,13.779,13.779,247,1800,3948,3948,3948,13.778,13.779,13.779,3948,13.778,0,0,247,1800,0,0,29.75,2260,26105,13.778,0.8,-0.8,L,0,0,0,0
MC8000000356,30,2200,25155,0,247,1800,3948,94.591,94.593,94.593,0,0,A1,C,M,3,3948,3948,13.779,13.779,13.779,247,1800,3948,3948,3948,13.778,13.779,13.779,3948,13.778,0,0,247,1800,0,0,29.75,2260,26105,13.778,0.8,-0.8,L,0,0,0,0
MC8000000357,30,2200,25155,0,247,1800,3948,94.591,94.593,94.593,0,0,A1,C,M,3,3948,3948,13.779,13.779,13.779,247,1800,3948,3948,3948,13.778,13.779,13.779,3948,13.778,0,0,247,1800,0,0,29.75,2260,26105,13.778,0.8,-0.8,L,0,0,0,0
MC8000000358,30,2200,25155,0,247,1800,3948,94.591,94.593,94.593,0,0,A1,C,M,3,3948,3948,13.779,13.779,13.779,247,1800,3948,3948,3948,13.778,13.779,13.779,3948,13.778,0,0,247,1800,0,0,29.75,2260,26105,13.778,0.8,-0.8,L,0,0,0,0
MC8000000359,30,2200,25155,0,247,1800,3948,94.591,94.593,94.593,0,0,A1,C,M,3,3948,3948,13.779,13.779,13.779,247,1800,3948,3948,3948,13.778,13.779,13.779,3948,13.778,0,0,247,1800,0,0,29.75,2260,26105,13.778,0.8,-0.8,L,0,0,0,0
MC8000000360,30,2200,25155,0,247,1800,3948,94.591,94.593,94.593,0,0,A1,C,M,3,3948,3948,13.779,13.779,13.779,247,1800,3948,3948,3948,13.778,13.779,13.779,3948,13.778,0,0,247,1800,0,0,29.75,2260,26105,13.778,0.8,-0.8,L,0,0,0,0
MC8000000361,30,2200,25155,0,247,1800,3948,94.591,94.593,94.593,0,0,A1,C,M,3,3948,3948,13.779,13.779,13.779,247,1800,3948,3948,3948,13.778,13.779,13.779,3948,13.778,0,0,247,1800,0,0,29.75,2260,26105,13.778,0.8,-0.8,L,0,0,0,0
MC8000000362,30,2200,25155,0,247,1800,3948,94.591,94.593,94.593,0,0,A1,C,M,3,3948,3948,13.779,13.779,13.779,247,1800,3948,3948,3948,13.778,13.779,13.779,3948,13.778,0,0,247,1800,0,0,29.75,2260,26105,13.778,0.8,-0.8,L,0,0,0,0
MC8000000363,30,2200,25155,0,247,1800,3948,94.591,94.593,94.593,0,0,A1,C,M,3,3948,3948,13.779,13.779,13.779,247,1800,3948,3948,3948,13.778,13.779,13.779,3948,13.778,0,0,247,1800,0,0,29.75,2260,26105,13.778,0.8,-0.8,L,0,0,0,0
MC8000000364,30,2200,25155,0,247,1800,3948,94.591,94.593,94.593,0,0,A1,C,M,3,3948,3948,13.779,13.779,13.779,247,1800,3948,3948,3948,13.778,13.779,13.779,3948,13.778,0,0,247,1800,0,0,29.75,2260,26105,13.778,0.8,-0.8,L,0,0,0,0
MC8000000365,30,2200,25155,0,247,1800,3948,94.591,94.593,94.593,0,0,A1,C,M,3,3948,3948,13.779,13.779,13.779,247,1800,3948,3948,3948,13.778,13.779,13.779,3948,13.778,0,0,247,1800,0,0,29.75,2260,26105,13.778,0.8,-0.8,L,0,0,0,0
MC8000000366,30,2200,24900,0,247,1800,3910,94.556,94.554,94.554,0,0,A1,C,M,3,3910,3910,13.646,13.646,13.646,247,1800,3910,3910,3910,13.644,13.646,13.646,3910,13.644,0,0,247,1800,0,0,29.75,2260,25850,13.643,0.8,-0.8,L,0,0,0,0
MC8000000367,30,2200,24900,0,247,1800,3910,94.556,94.554,94.554,0,0,A1,C,M,3,3910,3910,13.646,13.646,13.646,247,1800,3910,3910,3910,13.644,13.646,13.646,3910,13.644,0,0,247,1800,0,0,29.75,2260,25850,13.643,0.8,-0.8,L,0,0,0,0
MC8000000368,30,2200,24900,0,247,1800,3910,94.556,94.554,94.554,0,0,A1,C,M,3,3910,3910,13.646,13.646,13.646,247,1800,3910,3910,3910,13.644,13.646,13.646,3910,13.644,0,0,247,1800,0,0,29.75,2260,25850,13.643,0.8,-0.8,L,0,0,0,0
MC8000000369,30,2200,24900,0,247,1800,3910,94.556,94.554,94.554,0,0,A1,C,M,3,3910,3910,13.646,13.646,13.646,247,1800,3910,3910,3910,13.644,13.646,13.646,3910,13.644,0,0,247,1800,0,0,29.75,2260,25850,13.643,0.8,-0.8,L,0,0,0,0
MC8000000370,30,2200,24900,0,247,1800,3910,94.556,94.554,94.554,0,0,A1,C,M,3,3910,3910,13.646,13.646,13.646,247,1800,3910,3910,3910,13.644,13.646,13.646,3910,13.644,0,0,247,1800,0,0,29.75,2260,25850,13.643,0.8,-0.8,L,0,0,0,0
MC8000000371,30,2200,24900,0,247,1800,3910,94.556,94.554,94.554,0,0,A1,C,M,3,3910,3910,13.646,13.646,13.646,247,1800,3910,3910,3910,13.644,13.646,13.646,3910,13.644,0,0,247,1800,0,0,29.75,2260,25850,13.643,0.8,-0.8,L,0,0,0,0
MC8000000372,30,2200,24900,0,247,1800,3910,94.556,94.554,94.554,0,0,A1,C,M,3,3910,3910,13.646,13.646,13.646,247,1800,3910,3910,3910,13.644,13.646,13.646,3910,13.644,0,0,247,1800,0,0,29.75,2260,25850,13.643,0.8,-0.8,L,0,0,0,0
MC8000000373,30,2200,24900,0,247,1800,3910,94.556,94.554,94.554,0,0,A1,C,M,3,3910,3910,13.646,13.646,13.646,247,1800,3910,3910,3910,13.644,13.646,13.646,3910,13.644,0,0,247,1800,0,0,29.75,2260,25850,13.643,0.8,-0.8,L,0,0,0,0
MC8000000374,30,2200,24900,0,247,1800,3910,94.556,94.554,94.554,0,0,A1,C,M,3,3910,3910,13.646,13.646,13.646,247,1800,3910,3910,3910,13.644,13.646,13.646,3910,13.644,0,0,247,1800,0,0,29.75,2260,25850,13.643,0.8,-0.8,L,0,0,0,0
