,,,corect_length,,,,,,,,,,,,,i_length_slot,,,,,,,,,,,,,,,,,,,,,,,,roll_length,len_crop,,,,,hcrop,tcrop,d_cut_width_i,
MC8000000235,100,2500,10814,0,395,2000,3626,94.383,94.383,94.383,0,0,A1,C,M,1,3626,3626,22.487,22.487,22.487,395,2000,3626,3626,3626,22.485,22.487,22.487,3626,22.485,0,0,395,2000,0,0,99.6,2560,11234,420,22.486,1.1,-1.1,L,0,0,0,0
MC8000000236,100,2500,10814,0,395,2000,3626,94.383,94.383,94.383,0,0,A1,C,M,1,3626,3626,22.487,22.487,22.487,395,2000,3626,3626,3626,22.485,22.487,22.487,3626,22.485,0,0,395,2000,0,0,99.6,2560,11234,420,22.486,1.1,-1.1,L,0,0,0,0
MC8000000598,70,2200,10065,0,247,1800,3710,93.983,93.983,93.983,0,0,A1,C,M,1,3710,3710,12.948,12.948,12.948,247,1800,3710,3710,3710,12.947,12.948,12.948,3710,12.947,0,0,247,1800,0,0,69.6,2260,10485,420,12.947,1.1,-1.1,L,0,0,0,0
MC8000000599,70,2200,10065,0,247,1800,3710,93.983,93.983,93.983,0,0,A1,C,M,1,3710,3710,12.948,12.948,12.948,247,1800,3710,3710,3710,12.947,12.948,12.948,3710,12.947,0,0,247,1800,0,0,69.6,2260,10485,420,12.947,1.1,-1.1,L,0,0,0,0
MC8000000600,70,2200,10065,0,247,1800,3710,93.983,93.983,93.983,0,0,A1,C,M,1,3710,3710,12.948,12.948,12.948,247,1800,3710,3710,3710,12.947,12.948,12.948,3710,12.947,0,0,247,1800,0,0,69.6,2260,10485,420,12.947,1.1,-1.1,L,0,0,0,0
MC8000000601,70,2200,10065,0,247,1800,3710,93.983,93.983,93.983,0,0,A1,C,M,1,3710,3710,12.948,12.948,12.948,247,1800,3710,3710,3710,12.947,12.948,12.948,3710,12.947,0,0,247,1800,0,0,69.6,2260,10485,420,12.947,1.1,-1.1,L,0,0,0,0
MC8000000602,70,2200,10065,0,247,1800,3710,93.983,93.983,93.983,0,0,A1,C,M,1,3710,3710,12.948,12.948,12.948,247,1800,3710,3710,3710,12.947,12.948,12.948,3710,12.947,0,0,247,1800,0,0,69.6,2260,10485,420,12.947,1.1,-1.1,L,0,0,0,0
MC8000000603,70,2200,10065,0,247,1800,3710,93.983,93.983,93.983,0,0,A1,C,M,1,3710,3710,12.948,12.948,12.948,247,1800,3710,3710,3710,12.947,12.948,12.948,3710,12.947,0,0,247,1800,0,0,69.6,2260,10485,420,12.947,1.1,-1.1,L,0,0,0,0
MC8000000604,70,2200,10065,0,247,1800,3710,93.983,93.983,93.983,0,0,A1,C,M,1,3710,3710,12.948,12.948,12.948,247,1800,3710,3710,3710,12.947,12.948,12.948,3710,12.947,0,0,247,1800,0,0,69.6,2260,10485,420,12.947,1.1,-1.1,L,0,0,0,0
MC8000000605,70,2200,10065,0,247,1800,3710,93.983,93.983,93.983,0,0,A1,C,M,1,3710,3710,12.948,12.948,12.948,247,1800,3710,3710,3710,12.947,12.948,12.948,3710,12.947,0,0,247,1800,0,0,69.6,2260,10485,420,12.947,1.1,-1.1,L,0,0,0,0
MC8000000606,45,2200,11000,0,247,1800,2595,94.394,94.391,94.391,0,0,A1,C,M,1,2595,2595,9.057,9.057,9.057,247,1800,2595,2595,2595,9.057,9.057,9.057,2595,9.057,0,0,247,1800,0,0,44.7,2260,11420,420,9.056,0.9,-0.9,L,0,0,0,0
MC8000000607,45,2200,11000,0,247,1800,2595,94.394,94.391,94.391,0,0,A1,C,M,1,2595,2595,9.057,9.057,9.057,247,1800,2595,2595,2595,9.057,9.057,9.057,2595,9.057,0,0,247,1800,0,0,44.7,2260,11420,420,9.056,0.9,-0.9,L,0,0,0,0
MC8000000608,45,2200,11000,0,247,1800,2595,94.394,94.391,94.391,0,0,A1,C,M,1,2595,2595,9.057,9.057,9.057,247,1800,2595,2595,2595,9.057,9.057,9.057,2595,9.057,0,0,247,1800,0,0,44.7,2260,11420,420,9.056,0.9,-0.9,L,0,0,0,0
MC8000000609,45,2200,11000,0,247,1800,2595,94.394,94.391,94.391,0,0,A1,C,M,1,2595,2595,9.057,9.057,9.057,247,1800,2595,2595,2595,9.057,9.057,9.057,2595,9.057,0,0,247,1800,0,0,44.7,2260,11420,420,9.056,0.9,-0.9,L,0,0,0,0
MC8000000610,45,2200,11000,0,247,1800,2595,94.394,94.391,94.391,0,0,A1,C,M,1,2595,2595,9.057,9.057,9.057,247,1800,2595,2595,2595,9.057,9.057,9.057,2595,9.057,0,0,247,1800,0,0,44.7,2260,11420,420,9.056,0.9,-0.9,L,0,0,0,0
MC8000000611,45,2200,11000,0,247,1800,2595,94.394,94.391,94.391,0,0,A1,C,M,1,2595,2595,9.057,9.057,9.057,247,1800,2595,2595,2595,9.057,9.057,9.057,2595,9.057,0,0,247,1800,0,0,44.7,2260,11420,420,9.056,0.9,-0.9,L,0,0,0,0
MC8000000634,45,2200,11000,0,247,1800,2595,94.394,94.391,94.391,0,0,A1,C,M,1,2595,2595,9.057,9.057,9.057,247,1800,2595,2595,2595,9.057,9.057,9.057,2595,9.057,0,0,247,1800,0,0,44.7,2260,11420,420,9.056,0.9,-0.9,L,0,0,0,0
MC8000000635,45,2200,11000,0,247,1800,2595,94.394,94.391,94.391,0,0,A1,C,M,1,2595,2595,9.057,9.057,9.057,247,1800,2595,2595,2595,9.057,9.057,9.057,2595,9.057,0,0,247,1800,0,0,44.7,2260,11420,420,9.056,0.9,-0.9,L,0,0,0,0
MC8000000636,45,2200,11000,0,247,1800,2595,94.394,94.391,94.391,0,0,A1,C,M,1,2595,2595,9.057,9.057,9.057,247,1800,2595,2595,2595,9.057,9.057,9.057,2595,9.057,0,0,247,1800,0,0,44.7,2260,11420,420,9.056,0.9,-0.9,L,0,0,0,0
MC8000000637,45,2200,11000,0,247,1800,2595,94.394,94.391,94.391,0,0,A1,C,M,1,2595,2595,9.057,9.057,9.057,247,1800,2595,2595,2595,9.057,9.057,9.057,2595,9.057,0,0,247,1800,0,0,44.7,2260,11420,420,9.056,0.9,-0.9,L,0,0,0,0
MC8000000638,45,2200,11000,0,247,1800,2595,94.394,94.391,94.391,0,0,A1,C,M,1,2595,2595,9.057,9.057,9.057,247,1800,2595,2595,2595,9.057,9.057,9.057,2595,9.057,0,0,247,1800,0,0,44.7,2260,11420,420,9.056,0.9,-0.9,L,0,0,0,0
MC8000000639,45,2200,11000,0,247,1800,2595,94.394,94.391,94.391,0,0,A1,C,M,1,2595,2595,9.057,9.057,9.057,247,1800,2595,2595,2595,9.057,9.057,9.057,2595,9.057,0,0,247,1800,0,0,44.7,2260,11420,420,9.056,0.9,-0.9,L,0,0,0,0
MC8000000640,45,2200,11000,0,247,1800,2595,94.394,94.391,94.391,0,0,A1,C,M,1,2595,2595,9.057,9.057,9.057,247,1800,2595,2595,2595,9.057,9.057,9.057,2595,9.057,0,0,247,1800,0,0,44.7,2260,11420,420,9.056,0.9,-0.9,L,0,0,0,0
MC8000000641,45,2200,11000,0,247,1800,2595,94.394,94.391,94.391,0,0,A1,C,M,1,2595,2595,9.057,9.057,9.057,247,1800,2595,2595,2595,9.057,9.057,9.057,2595,9.057,0,0,247,1800,0,0,44.7,2260,11420,420,9.056,0.9,-0.9,L,0,0,0,0
MC8000000642,45,2200,11000,0,247,1800,2595,94.394,94.391,94.391,0,0,A1,C,M,1,2595,2595,9.057,9.057,9.057,247,1800,2595,2595,2595,9.057,9.057,9.057,2595,9.057,0,0,247,1800,0,0,44.7,2260,11420,420,9.056,0.9,-0.9,L,0,0,0,0
MC8000000643,45,2200,10700,0,247,1800,2527,94.297,94.296,94.296,0,0,A1,C,M,1,2527,2527,8.82,8.82,8.82,247,1800,2527,2527,2527,8.819,8.82,8.82,2527,8.819,0,0,247,1800,0,0,44.7,2260,11120,420,8.818,0.9,-0.9,L,0,0,0,0
MC8000000644,45,2200,10700,0,247,1800,2527,94.297,94.296,94.296,0,0,A1,C,M,1,2527,2527,8.82,8.82,8.82,247,1800,2527,2527,2527,8.819,8.82,8.82,2527,8.819,0,0,247,1800,0,0,44.7,2260,11120,420,8.818,0.9,-0.9,L,0,0,0,0
MC8000000715,65,2200,10206,0,247,1800,3490,94.076,94.079,94.079,0,0,A1,C,M,1,3490,3490,12.18,12.18,12.18,247,1800,3490,3490,3490,12.178,12.18,12.18,3490,12.178,0,0,247,1800,0,0,64.6,2260,10626,420,12.178,1.1,-1.1,L,0,0,0,0
MC8000000716,65,2200,10206,0,247,1800,3490,94.076,94.079,94.079,0,0,A1,C,M,1,3490,3490,12.18,12.18,12.18,247,1800,3490,3490,3490,12.178,12.18,12.18,3490,12.178,0,0,247,1800,0,0,64.6,2260,10626,420,12.178,1.1,-1.1,L,0,0,0,0
MC8000000717,65,2200,10206,0,247,1800,3490,94.076,94.079,94.079,0,0,A1,C,M,1,3490,3490,12.18,12.18,12.18,247,1800,3490,3490,3490,12.178,12.18,12.18,3490,12.178,0,0,247,1800,0,0,64.6,2260,10626,420,12.178,1.1,-1.1,L,0,0,0,0
MC8000000718,65,2200,10206,0,247,1800,3490,94.076,94.079,94.079,0,0,A1,C,M,1,3490,3490,12.18,12.18,12.18,247,1800,3490,3490,3490,12.178,12.18,12.18,3490,12.178,0,0,247,1800,0,0,64.6,2260,10626,420,12.178,1.1,-1.1,L,0,0,0,0
MC8000000719,65,2200,10206,0,247,1800,3490,94.076,94.079,94.079,0,0,A1,C,M,1,3490,3490,12.18,12.18,12.18,247,1800,3490,3490,3490,12.178,12.18,12.18,3490,12.178,0,0,247,1800,0,0,64.6,2260,10626,420,12.178,1.1,-1.1,L,0,0,0,0
MC8000000720,65,2200,10206,0,247,1800,3490,94.076,94.079,94.079,0,0,A1,C,M,1,3490,3490,12.18,12.18,12.18,247,1800,3490,3490,3490,12.178,12.18,12.18,3490,12.178,0,0,247,1800,0,0,64.6,2260,10626,420,12.178,1.1,-1.1,L,0,0,0,0
MC8000000721,65,2200,10206,0,247,1800,3490,94.076,94.079,94.079,0,0,A1,C,M,1,3490,3490,12.18,12.18,12.18,247,1800,3490,3490,3490,12.178,12.18,12.18,3490,12.178,0,0,247,1800,0,0,64.6,2260,10626,420,12.178,1.1,-1.1,L,0,0,0,0
MC8000000722,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000723,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000724,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000725,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000726,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000727,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000728,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000729,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000730,65,2200,10883,0,247,1800,3712,94.308,94.311,94.311,0,0,A1,C,M,1,3712,3712,12.955,12.955,12.955,247,1800,3712,3712,3712,12.954,12.955,12.955,3712,12.954,0,0,247,1800,0,0,64.6,2260,11303,420,12.954,1.1,-1.1,L,0,0,0,0
MC8000000731,65,2200,10883,0,247,1800,3712,94.308,94.311,94.311,0,0,A1,C,M,1,3712,3712,12.955,12.955,12.955,247,1800,3712,3712,3712,12.954,12.955,12.955,3712,12.954,0,0,247,1800,0,0,64.6,2260,11303,420,12.954,1.1,-1.1,L,0,0,0,0
MC8000000732,65,2200,10883,0,247,1800,3712,94.308,94.311,94.311,0,0,A1,C,M,1,3712,3712,12.955,12.955,12.955,247,1800,3712,3712,3712,12.954,12.955,12.955,3712,12.954,0,0,247,1800,0,0,64.6,2260,11303,420,12.954,1.1,-1.1,L,0,0,0,0
MC8000000733,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000734,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000735,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000736,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000737,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000738,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000739,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000740,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000741,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000742,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000743,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000744,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000745,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000746,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
MC8000000747,65,2200,10839,0,247,1800,3698,94.294,94.296,94.296,0,0,A1,C,M,1,3698,3698,12.906,12.906,12.906,247,1800,3698,3698,3698,12.903,12.906,12.906,3698,12.903,0,0,247,1800,0,0,64.6,2260,11259,420,12.904,1.1,-1.1,L,0,0,0,0
